Title,Author,Year,Citation count,Open access,DOI,Abstract
On the Concept of Health Capital and the Demand for Health,Michael Grossman,1972,5797,NOT Open Access,https://doi.org/10.1086/259880,
Social and economic impacts of climate,Tamma Carleton|Solomon Hsiang,2016,1341,NOT Open Access,https://doi.org/10.1126/science.aad9837,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Technical performance during soccer matches of the Italian Serie A league: Effect of fatigue and competitive level,Ermanno Rampinini|Franco M. Impellizzeri|Carlo Castagna|Aaron J. Coutts|Ulrik Wisløff,2009,809,NOT Open Access,https://doi.org/10.1016/j.jsams.2007.10.002,
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,Tatyana Deryugina|Garth Heutel|Nolan Miller|David Molitor|Julian Reif,2019,779,NOT Open Access,https://doi.org/10.1257/aer.20180279,
Happiness in the air: How does a dirty sky affect mental health and subjective well-being?,Xin Zhang|Xiaobo Zhang|Xi Chen,2017,676,Open Access,https://doi.org/10.1016/j.jeem.2017.04.001,
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,https://doi.org/10.1257/pol.20150085,
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,https://doi.org/10.1257/app.20160436,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)"
The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution,Avraham Ebenstein|Victor Lavy|Sefi Roth,2016,404,Open Access,https://doi.org/10.1257/app.20150213,"Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences. We evaluate this hypothesis among Israeli students who took a series of matriculation exams between 2000 and 2002. Exploiting variation across the same student taking multiple exams, we find that transitory PM 2.5 exposure is associated with a significant decline in student performance. We then examine these students in 2010 and find that PM 2.5 exposure during exams is negatively associated with postsecondary educational attainment and earnings. The results highlight how reliance on noisy signals of student quality can lead to allocative inefficiency. (JEL I21, I23, I26, J24, J31, Q51, Q53)"
"Straw burning, PM2.5, and death: Evidence from China",Guojun He|Tong Liu|Maigeng Zhou,2020,327,NOT Open Access,https://doi.org/10.1016/j.jdeveco.2020.102468,
