Title,Author,Year,Citation count,Open access,DOI,Abstract
Relative Contribution of Outdoor and Indoor Particle Sources to Indoor Concentrations,Eileen Abt|Helen Suh|Paul J. Catalano|Petros Koutrakis,2000,410,NOT Open Access,https://doi.org/10.1021/es990348y,
"Air pollution: A systematic review of its psychological, economic, and social effects",Jackson G. Lu,2019,297,NOT Open Access,https://doi.org/10.1016/j.copsyc.2019.06.024,
"Air Quality and Error Quantity: Pollution and Performance in a High-Skilled, Quality-Focused Occupation",James Archsmith|Anthony Heyes|Soodeh Saberian,2018,227,Open Access,https://doi.org/10.1086/698728,"We provide the first evidence that short-term exposure to air pollution affects the work performance of a group of highly skilled, quality-focused employees. We repeatedly observe the decision making of individual professional baseball umpires, quasi-randomly assigned to varying air quality across time and space. Unique characteristics of this setting combined with high-frequency data disentangle effects of multiple pollutants and identify previously underexplored acute effects. We find that a 1 ppm increase in 3-hour CO causes an 11.5% increase in the propensity of umpires to make incorrect calls and a 10 μg/m3 increase in 12-hour PM2.5 causes a 2.6% increase. We control carefully for a variety of potential confounders, and results are supported by robustness and falsification checks. Our estimates imply that a 3% reduction in productive output is associated with a change in CO concentrations equivalent to moving from the 25th to the 95th percentile of the CO distribution in many of the largest US cities."
The Ozone Water–Land Environmental Transition Study: An Innovative Strategy for Understanding Chesapeake Bay Pollution Events,John T. Sullivan|Timothy A. Berkoff|Guillaume Gronoff|Travis N. Knepp|M. R. Pippin|Danette Allen|Laurence Twigg|Robert Swap|Maria Tzortziou|Anne M. Thompson|Ryan M. Stauffer|Glenn M. Wolfe|James Flynn|Sally E. Pusede|Laura Judd|William H. Moore|Barry Baker|J. Al-Saadi|Thomas J. McGee,2018,80,Open Access,https://doi.org/10.1175/bams-d-18-0025.1,"Coastal regions have historically represented a significant challenge for air quality investigations due to water-land boundary transition characteristics and a paucity of measurements available over water. Prior studies have identified the formation of high levels of ozone over water bodies, such as the Chesapeake Bay, that can potentially recirculate back over land to significantly impact populated areas. Earth-observing satellites and forecast models face challenges in capturing the coastal transition zone where small-scale meteorological dynamics are complex and large changes in pollutants can occur on very short spatial and temporal scales. An observation strategy is presented to synchronously measure pollutants 'over-land' and 'over-water' to provide a more complete picture of chemical gradients across coastal boundaries for both the needs of state and local environmental management and new remote sensing platforms. Intensive vertical profile information from ozone lidar systems and ozonesondes, obtained at two main sites, one over land and the other over water, are complemented by remote sensing and in-situ observations of air quality from ground-based, airborne (both personned and unpersonned), and shipborne platforms. These observations, coupled with reliable chemical transport simulations, such as the NOAA National Air Quality Forecast Capability (NAQFC), are expected to lead to a more fully characterized and complete land-water interaction observing system that can be used to assess future geostationary air quality instruments, such as the NASA Tropospheric Emissions: Monitoring of Pollution (TEMPO) as well as current low earth orbiting satellites, such as the European Space Agency's Sentinel 5-Precursor (S5-P) with its Tropospheric Monitoring Instrument (TROPOMI)."
Productivity loss amid invisible pollution,Chunchao Wang|Qianqian Lin|Yun Qiu,2022,68,NOT Open Access,https://doi.org/10.1016/j.jeem.2022.102638,
Running With a Mask? The Effect of Air Pollution on Marathon Runners’ Performance,Mengmeng Guo|Shihe Fu,2019,61,NOT Open Access,https://doi.org/10.1177/1527002518822701,
Ambient air pollution and human performance: Contemporaneous and acclimatization effects of ozone exposure on athletic performance,Jamie T. Mullins,2018,47,NOT Open Access,https://doi.org/10.1002/hec.3667,
The Mechanics of Breathing during Swimming,Michael G. Leahy|Mckenzie N. Summers|Carli M. Peters|Yannick Molgat‐Seon|Caitlin M. Geary|A. William Sheel,2019,37,NOT Open Access,https://doi.org/10.1249/mss.0000000000001902,
Air pollution and worker productivity,Matthew Neidell,2017,35,Open Access,https://doi.org/10.15185/izawol.363,"Environmental regulations are typically considered to be a drag on the economy. However, improved environmental quality may actually enhance productivity by creating a healthier workforce. Evidence suggests that improvements in air quality lead to improvements in worker productivity across a range of sectors, including agriculture, manufacturing, and the service sectors. These effects also arise at levels of air quality that are below pollution thresholds in countries with the highest levels of environmental regulation. The findings suggest a new approach for understanding the consequences of environmental regulations."
A mayors perspective on tackling air pollution,Shihe Fu|V. Brian Viard,2022,4,Open Access,https://doi.org/10.4337/9781789908497.00025,"We review recent empirical economic studies on urban ambient air pollution from a mayor's perspective. We discuss the sources of urban air pollution, the economic costs that it imposes, and the policy tools available to a mayor to alleviate it. For economic costs, we briefly summarize traditional estimates of health and mortality costs and focus on more recent evidence on mental and psychological health, labor productivity and supply, avoidance behavior, willingness to pay for clean air and long-term (multi-decade) impacts. The policy tools we evaluate include pollution information disclosure, auto license and driving restrictions, congestion tolls, public transit investments, emission standards and controls, and gasoline taxes. We also discuss challenges posed by transboundary pollution across cities and the extent to which mayors' incentives encourage tackling air pollution under different political systems. We briefly discuss possible future research agendas."
Distribution and reproducibility of spirometric response to ozone by gender and age,Milan J. Hazucha|Lawrence J. Folinsbee|Philip A. Bromberg,2003,65,NOT Open Access,https://doi.org/10.1152/japplphysiol.00490.2003,
Happiness as a Reward for Torture: Is Participation in a Long-Distance Triathlon a Rational Choice?,Joel G. Maxcy|Pamela Wicker|Joachim Prinz,2018,17,Open Access,https://doi.org/10.1177/1527002518758144,"This study applies prospect theory to an assessment of actual behavior. Loss aversion, reference dependence, and diminishing sensitivity are conceptualized through survey respondents’ perceptions of physical and mental torture during training for and competition in long-distance triathlons. Regression results show that frequent thoughts of giving up during the race negatively affect happiness after the race, while mental torture during training and race is negatively associated with happiness in the weeks after the race. Satisfaction with race outcome positively affects happiness, suggesting that achieving individual goals is more important than absolute performance in terms of finishing times and ranks."
Air Quality and Employee Performance in Teams: Evidence from the NFL,Brad R. Humphreys|Jane E. Ruseski,2023,2,Open Access,https://doi.org/10.2139/ssrn.4331964,
