longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,1869285,"Three Essays on Agriculture, Environment and Human Capital Formation in India","This dissertation present three studies related to environmental factors that may help explain early life mortality outcomes, household consumption decisions during childhood that could drive human capital development in later life, and potential market failures that affect farmers' returns in rural agricultural markets. The setting for all three studies is India where indicators of health and human development remain low, particularly in rural areas where majority of the households rely on agriculture as a primary source of livelihood. In chapter two, I analyze the impact of exposure to air pollution on risk of early childhood mortality. I exploit variation in the incidence of agricultural fires used by farmers combined with changes in wind direction to estimate the causal impact of air pollution on infant mortality at a countrywide scale. I find that in-utero pollution exposure increases infant mortality risk by more than six percent, with the mortality burden being higher among rural households and the urban poor. In chapter three, I examine whether informal contracts provide incentives for improving product quality in agricultural markets. Using a novel field experiment, we show that farmers receive only $0.80 for a potential $1 payoff for improved grain quality. However, we also find that social connections between a farmer and a trader improve the farmers payoff for quality suggesting that informal, long-term relational contracts can provide incentives for investing in product quality. Finally, in chapter four, I examine the unintended consequences of regulating addictive consumption on intergenerational human capital transmission using evidence from alcohol prohibition laws in India. I use the variation in partial alcohol bans that prohibited sale and consumption of cheaper varieties of alcohol across states in India. I show that households exposed to these partial alcohol bans shift consumption expenditure towards costlier alcohol and reduce private investment on health and education of children. In the long term, this results in an average reduction in the years of schooling among children who were exposed to these bans of more than four percent compared to the sample mean.",20190801,"Pullabhotla, Hemant",Dissertation,Dissertation,August 2019,,"Three Essays on Agriculture, Environment and Human Capital Formation in India","Consumer Economics: Empirical Analysis ; Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Microeconomic Analyses of Economic Development ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets",GEN,,,,,,,,eng,University of Illinois,,,,,,,,,,https://research.ebsco.com/plink/99f7ed57-7890-3de1-8051-071e1c4f8963,,,,
EconLit with Full Text,eoh,1648601,Environmental Policies and Productivity Growth: Evidence across Industries and Firms,"This paper investigates the impact of changes in environmental policy stringency on industry- and firm-level productivity growth in a panel of OECD countries. To test the strong version of the Porter Hypothesis (PH), we extend a neo-Schumpeterian productivity model to allow for effects of environmental policies. We use a new environmental policy stringency (EPS) index and let the effect of countries' environmental policies vary with the pollution intensity of the industry and with the countries' and firms' technological advancement. A tightening of environmental policy is associated with a short-term increase in industry-level productivity growth in the most technologically-advanced countries. This effect diminishes with the distance to the global productivity frontier, eventually becoming insignificant. For the average firm, no evidence of PH is found. However, the most productive firms see a temporary boost in productivity growth, while the less productive ones experience a productivity slowdown.",20170101,"Albrizio, Silvia ; Kozluk, Tomasz ; Zipperer, Vera",Journal Article,Journal Article,January 2017,true,Journal of Environmental Economics and Management,"Current Heterodox Approaches: Historical; Institutional; Evolutionary ; Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity ; Technological Change: Choices and Consequences; Diffusion Processes ; Environmental Economics: Government Policy",JOUR,,,0095-0696,,,,,eng,,226,209,18,81,,10.1016/j.jeem.2016.06.002,,,,https://research.ebsco.com/plink/4759a94e-06d2-3f1e-b4d8-f82cc628b657,,,,
EconLit with Full Text,eoh,0966851,Linking Health and Productivity Impacts to Climate Policy Costs: A General Equilibrium Analysis,Much of the debate on global climate change has focused on direct costs of mitigation. Recently this debate has included the issue of ancillary benefits. The present analysis incorporates a linkage between air pollution and ancillary health benefits into a general equilibrium model applied to Sweden. Direct disutility and indirect health effects are modelled using concentration-response and contingent valuation data. Health benefits are compared in three scenarios for attaining the Swedish carbon dioxide target with alternative projected and harmful emission levels. Results show that the costs of climate policy could be overstated when not accounting for ancillary health benefits.,20070101,"Ostblom, Goran ; Samakovlis, Eva",Journal Article,Journal Article,2007,,Climate Policy,Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Climate; Natural Disasters and Their Management; Global Warming ; Environmental Economics: Government Policy,JOUR,,,1469-3062 ; 1752-7457,,,,,eng,,391,379,13,7,5,,,,,https://research.ebsco.com/plink/6ab7719a-03b4-3768-a01e-a86e7453520d,,,,
EconLit with Full Text,eoh,1892933,Policy Options for Funding Carbon Capture in Regional Industrial Clusters: What Are the Impacts and Trade-Offs Involved in Compensating Industry Competitiveness Loss?,"Carbon capture and storage (CCS) is a technically feasible deep decarbonisation solution. Still it is not widely adopted, arguably due to some basic political economy and policy challenges. One issue is the large infrastructure needs of transporting and storing CO2. However, a more fundamental challenge in the current UK industrial policy landscape is concern over introducing new costly capital requirements in industries that need to retain competitiveness in a world that has not yet fully signed up to the 'net-zero' transition demanded by the more ambitious 1.5 degrees Celsius warming target of the Paris Agreement. We take the example of high-value chemicals industries operating in the UK devolved region of Scotland and use an economy-wide computable general equilibrium (CGE) model to consider the nature and potential extent of export, GDP and employment losses under different illustrative polluter/government/taxpayer pays approaches to meeting the higher cost requirements. We conclude that the value from subsidising capture activity depends on the extent of export demand response to competitiveness losses resulting from firms bearing CO2 capture costs. However, outcomes reflect trade-offs across different types of sectors and employment, and are also dependent on labour market responses to changing wage and unemployment rates.",20210601,"Turner, Karen ; Race, Julia ; Alabi, Oluwafisayo ; Katris, Antonios ; Swales, J. Kim",Journal Article,Journal Article,June 2021,true,Ecological Economics,Computable and Other Applied General Equilibrium Models ; Macroeconomics: Production ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Empirical Studies of Trade ; Chemicals; Rubber; Drugs; Biotechnology; Plastics ; Climate; Natural Disasters and Their Management; Global Warming ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth,JOUR,,,0921-8009,,,,,eng,,,,,184,,10.1016/j.ecolecon.2021.106978,,,,https://research.ebsco.com/plink/b70f7281-875c-3281-a4ba-df06677b63e8,,,,
EconLit with Full Text,eoh,1640436,Afectan los costes de energia a la competitividad de la industria? (With English summary.),"This article attempts to analyze the impact of energy on the competitiveness of the industry, also assessing other parameters such as productivity, labor cost per employee, unit labor costs and the level of innovation. The work also refers to companies' size. The goal is to answer the question how differences in energy prices affect the competitiveness of the energy intensive industries, analyzing the energy costs of some countries that can be considered as a reference like Germany, France, Czech Republic, Italy and the United Kingdom.",20160101,"Alvarez Pelegry, Eloy ; Larrea Basterra, Macarena ; Diaz Mendoza, Ana Carmen ; Kamp, Bart",Journal Article,Journal Article,2016,,Economía Industrial,"Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill ; Corporate Finance and Governance: Government Policy and Regulation ; Firm Performance: Size, Diversification, and Scope ; Industry Studies: Manufacturing: General ; Corporate Culture; Diversity; Social Responsibility ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects",JOUR,,,0422-2784,,,,,spa,,170,155,16,,401,,,,,https://research.ebsco.com/plink/1fdb55e8-eede-3068-88f5-b986ab07d0a2,,,,
EconLit with Full Text,eoh,0730794,Demanda por saneamento basico no Brasil: Uma analise com uso do modelo multinomial logit. (The Demand for Public Sanitary Service in Brazil: An Analysis Using a Multinomial Logit Model. With English summary.),"Basic sanitary services, that include waste disposal, treated water supplies and sewage services, have a strong effect on human health and on the environment. Brazil stands as having a large deficit in these services which results in a decrease in the productivity of labor and losses in GDP. This study aims at estimating an exploratory sanitary service demand model for Brazil. Two complementary approaches are used. The first one is a demand model estimated by a logit type regression where the three sanitary services are jointly analyzed. The second model takes each component individually for analytical purposes. In this sense, a random utility model based on the multinomial logit is used for waste disposal and sewage. In spite of data limitation, in both models it was possible to observe that demand is sensitive to factors such as education, family background, race, location, etc. Also relevant as a determining factor is the effect of household income, being especially true for poorer households.",20040301,"de Mendonca, Mario Jorge Cardoso ; Sachsida, Adolfo ; Loureiro, Paulo Roberto Amorim",Journal Article,Journal Article,January-March 2004,,Brazilian Journal of Applied Economics / Economía Aplicada,Publicly Provided Goods: General ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,1413-8050 ; 1980-5330,,,,,por,,163,143,21,8,1,,,,,https://research.ebsco.com/plink/aa417c04-859d-35e5-9c3c-32f57a1daf54,,,,
EconLit with Full Text,eoh,0777975,Prefectural Balance Sheet of the Environment: Study Based on the Ecological Footprint. (In Japanese. With English summary.),"The argument on the index for sustainable development is active internationally after United Nation Conference on Environment and Development in 1992. However, the intelligible index of sustainable development could not be found, especially in the local level. In this paper, first of all, it arranged and classified main existing index for sustainability. This study adopt the environmental capacity according to all prefectures using one of the new indexes of ""The Ecological Footprint"" which was developed in University of British Columbia in Canada. The Ecological Footprint measures the amount of the globe's biological productivity an individual or a country occupies in a given year. In this paper, Ecological Footprint calculations are based on five categories: ""arable land"", ""pasture"", ""forest area for product paper or timber"", ""urbanized area"" and ""forest area for assimilate CO[subscript 2"", in prefectural scale according to Living Planet Report 2002. Furthermore, exports and imports are also considered to calculate Ecological Footprint. Correlation analysis between Ecological Footprint and tax allocated to prefectural government is also examined. The results show that the value of Ecological Footprint is relatively large compared with the environmental capacity in each prefecture, excluding Hokkaido. It is also clarified that Ecological Footprint that was produced from metropolitan area could be covered by local prefectures. Moreover, tax allocated to local prefectural governments could be interpreted as the subsidy for environmental balance from metropolitan area.",20040101,"Taniguchi, Mamoru ; Abe, Hirofumi ; Shigekane, Kaoru",Journal Article,Journal Article,2004,,Studies in Regional Science,Sustainable Development ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth,JOUR,,,0287-6256 ; 1880-6465,,,,,jpn,,36,23,14,34,1,,,,,https://research.ebsco.com/plink/294720a4-4de8-31a5-b762-2d2ae5acb102,,,,
EconLit with Full Text,eoh,1869130,Studies on Transportation and Residential Electricity Economics,"My dissertation contains three distinct chapters on the topics of how people make choice on transit modes and what is the general pattern of energy use in their homes. This dissertation estimates decline in residential electricity consumption using states level aggregated data in U.S. and monthly residential consumption information for more than 158 thousand Sacramento households in the serving area of Sacramento Municipal Utility District (SMUD) and evaluates the infrastructure construction--San Francisco Bay Bridge and estimates residential electricity efficiency improvement using rich dataset including hourly transportation over 5 years. In chapter 1, I raise two questions on electricity consumption decline pattern in past 10 years: first, when is the start point of the decline trend in daily per capita consumption? Second, what will be the reason that leads to the decrease trends across U.S. in paste decade? Will the beginning point of decline trend in per capita consumption occur earlier than current estimate? In particular, I investigate the decline trend across U.S. states and find consistent patterns but heterogeneous effects across states and seasons. I conclude the efficient temperature control techniques, especially air-conditioners and heater, drive the decline trend over the decade. Moreover, I observe a pronounced increase and then decline of residential electricity consumption around 2007 to 2010, during which the unemployment rates in U.S. increased to a peak and then declined. Adding the unemployment control seems to move the winter turning point from 2007 to 2009. Moreover, high unemployment was associated with higher electricity use, especially in winter. In chapter 2, I explore following hypotheses on residential electricity consumption: what drives the residential electricity consumption decrease? Can we breakdown into detailed electronic appliances? I investigate this possibility using detailed electricity consumption data from Sacramento, California from 2005 to 2013. In general, there are two main factors that determine the electricity consumption in residential households: different electronic appliances in the properties, and various consumption behaviors of these appliances by households. In particular, even within same district with similar built forms, different appliances lead to a wide range of different consumption. Occupants in households have different lifestyles and consumption behavior, which will influence the electricity usage of the dwelling. In particular, I find heating and cooling energy efficiency are the main causes that drive the decline trend. In addition, premises built around 1980s tend to improve energy efficiency because they are replacing old appliances with new ones. In Chapter 3, the substitution between public and private transit modes in the San Francisco Bay Area in response to changes in the relative price and convenience of each mode is empirically estimated. This work is motivated by the large, negative externalities (e.g., air pollution, traffic congestion, accidents) stemming from private driving that lead policy makers to advocate increasing use of public transportation (e.g., buses, subways, light rail). The efficiency of these policies depends on how consumers substitute between transit modes. First, I estimate how the price of gasoline affects ridership on the Bay Area Rapid Transit (BART) rail system and traffic flows on the San Francisco-Oakland Bay Bridge. Then, I estimate how opening the new eastern span of the Bay Bridge, which arguably made trans-bay driving more convenient, affected BART ridership and Bay Bridge traffic flows. High frequency hourly level BART ridership and traffic flows records on the Bay Bridge allow me to explore how the substitution varies by time-of-day and day-of-week. In conclusion, there is little substitution overall between public and private transit modes on weekdays, but there exists some significant substitutability on specific BART routes. This work finds significant substitutability on weekends, although the magnitude of the public transit response exceeds that of private transit.",20200301,"Ji, Mengxin",Dissertation,Dissertation,March 2020,,Studies on Transportation and Residential Electricity Economics,Consumer Economics: Empirical Analysis ; Externalities ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Electric Utilities ; Energy: Demand and Supply; Prices,GEN,,,,,,,,eng,"University of California, Davis",,,,,,,,,,https://research.ebsco.com/plink/3e71a1a5-2736-3aa7-aaeb-a0e8b35f8f53,,,,
EconLit with Full Text,eoh,1531913,Measuring Economic Sustainability and Progress,"Eighteen papers, revised versions of presentations made at the Conference on Research in Income and Wealth held in Cambridge, Massachusetts, in August 2012, present insights on today's economic measurement challenges as well as an understanding of the distribution of economic growth and its impact on well-being, and assess, among other topics, specific conceptual and empirical proposals for extending national accounts. Papers discuss economic measurement; expanded measurement of economic activity--progress and prospects; measuring social welfare in the US national accounts; household production, leisure, and living standards; representing consumption and saving without a representative consumer; the integration of micro- and macrodata on consumer income and expenditures; trends in the distribution of household income, 1979-2010; accounting for the distribution of income in the US national accounts; an analysis of wealth using micro- and macrodata--a comparison of the Survey of Consumer Finances and Flow of Funds Accounts; the integrated macroeconomic accounts of the United States; a prototype BEA/BLS industry-level production account for the United States; moving toward the development of sectoral financial positions and flows in a from-whom-to-whom framework; moving toward the measurement of net economic welfare--air pollution damage in the US national accounts--2002, 2005, and 2008; human capital accounting in the United States--context, measurement, and application; measuring the stock of human capital for international and intertemporal comparisons; developing a framework for decomposing medical care expenditure growth--exploring issues of representativeness; experimental measures of output and productivity in the Canadian hospital sector, 2002 to 2010; and innovation accounting. Includes panel remarks. Jorgenson is Samuel W. Morris University Professor in the Department of Economics at Harvard University. Landefeld is Director of the Bureau of Economic Analysis at the US Department of Commerce. Schreyer is Deputy Chief Statistician at the Organisation for Economic Co-operation and Development. Author and subject indexes.",20140101,"Jorgenson, Dale W. ; Landefeld, J. Steven ; Schreyer, Paul",Book,Book,2014,,Measuring Economic Sustainability and Progress,"Methodology for Collecting, Estimating, and Organizing Macroeconomic Data; Data Access ; Measurement and Data on National Income and Product Accounts and Wealth; Environmental Accounts ; General Welfare; Well-Being ; Health: General ; Human Capital; Skills; Occupational Choice; Labor Productivity",BOOK,,978-0-226-12133-8 ; 978-0-226-12147-5,,,,,,eng,"National Bureau of Economic Research Studies in Income and Wealth, vol. 72. Chicago and London: University of Chicago Press",659,,,,,,,,,https://research.ebsco.com/plink/2e27488f-3cd8-3ba6-8bd7-25f973d59960,,,,
EconLit with Full Text,eoh,1879810,Pollution and Labor Market Search Externalities Over the Business Cycle,"We study the relationship between unemployment, environmental policy, and business cycles. We develop a dynamic stochastic general equilibrium real business cycle model that includes both a pollution externality and congestion externalities from labor market search frictions, which generate unemployment. We consider two policies to address the market failures: an emissions tax and a tax or subsidy on job creation. With both policies present, the efficient outcome can be achieved. When one policy is constrained or absent, we solve for the second best. The absence of a vacancy policy to address the congestion externalities substantially affects the value of the emissions tax, both in steady state and over the business cycle.",20200101,"Gibson, John ; Heutel, Garth",Working Paper,Working Paper,2020,,Pollution and Labor Market Search Externalities Over the Business Cycle,Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Business Fluctuations; Cycles ; Environmental Economics: Government Policy,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 27445",,,,,,,,,,https://research.ebsco.com/plink/71f1787e-489a-3a63-8679-3952a51410b6,,,,
