Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type
"Bashir, Muhammad Tariq (55793189981); Khan, Awais (59331658500); Alrowais, Raid (57217148878); Sikandar, Muhammad Ali (56897149300); Khan, Md. Munir Hayet (16304362800); Zamin, Bakht (55987294600); Farid, Faizan (58559550900)","evaluating the impact of environmental noise pollution on construction worker productivity in peshawar, pakistan: justifying enforcement of noise regulation policies in the construction sector",2024,"Journal of Infrastructure, Policy and Development",2,10.24294/jipd.v8i9.6384,https://www.scopus.com/pages/publications/85204193380?origin=resultslist,"Noise pollution in construction sites is a significant concern, impacting worker health, safety, communication, and productivity. The current study aims to assess the paramount consequences of ambient noise pollution on construction activities and workers’ productivity in Peshawar, Pakistan. Noise measurements have been recorded at four different construction sites in Peshawar at different times of the day. Statistical analysis and Relative Importance Index (RII) are employed to evaluate the data Risk varia bles, such as equipment maintenance, noise control, increased workload, material handling challenges, quality control issues, and client satisfaction. The results indicated that noise levels often exceeded permissible limits, particularly in the afternoon, posing significant worker risks. In addition, RII analysis identified communication difficulties, safety hazards, and decreased productivity as significant issues. The results show that noise pollution is directly linked with safety risks, decreased performance, and client dissatisfaction and needs immediate attention by authorities. This paper proposes a strategic policy framework, recommending uniform hand signals and visual communication methods without noise for workers, worker training about safety, a nd using wearable devices in noisy settings. Communication training for teams and crane operators, proactive quality control, and customer-oriented project schedules are also proposed. These recommendations aim to mitigate the adverse effects of noise pollution, enhance construction industry resilience, and improve overall operational efficiency, worker safety, and client satisfaction in the construction sector of Peshawar, aligning with policy and sustainable development objectives. © 2024 by author(s).",ambient noise pollution; communication strategies; construction industry; consumer behavior; noise management; noise regulation enforcement; Relative Importance Index (RII); risk variables; safety hazards; sustainable development,,English,Scopus,Article
"Yang, Hongliu (57222468210); Wang, Shaoran (57222464723); Dong, Gang (57222472467); Ni, Hongwei (57222463054); Man, Xiaoping (57222470800); Du, Guoguang (57222465178); Yang, Liu (57222472655)",research and application of temperature indicating controller temperature probe replacement tool and test tool frame,2021,IOP Conference Series: Earth and Environmental Science,0,10.1088/1755-1315/687/1/012176,https://www.scopus.com/pages/publications/85102764140?origin=resultslist,"In view of the aging and corrosion of temperature probe caused by environmental problems, the traditional replacement method has problems such as long time consumption and difficulty in replacement. It is proposed to make a temperature indicator controller temperature probe replacement tool, which can further improve work efficiency and reduce power failure overhaul time. And in view of the human error in the temperature test of the temperature indicating controller and the technical error caused by the collision of the thermal resistance, combined with the relevant conditions of the electrical laboratory, a multi-functional temperature test tool rack is designed to realize the auxiliary temperature indication controller test and reasonable storage of thermal resistance. Finally, a practical experiment is carried out on the tools and instruments developed, and the results show that the tools and instruments designed and developed in this paper are feasible and practical. © Published under licence by IOP Publishing Ltd.",,Controllers; Corrosion; Environmental technology; Probes; Environmental problems; Multi-functional; Replacement methods; Research and application; Technical errors; Temperature indicators; Temperature probes; Time consumption; Pollution control,English,Scopus,Conference paper
"Bumpus, Michael A. (58284640500)",a survey of machine learning applications in commercial building management,2024,Issues in Information Systems,0,10.48009/4_iis_2024_115,https://www.scopus.com/pages/publications/85205815004?origin=resultslist,"Commercial building managers are faced with challenges in operating their facilities in an efficient and cost-effective manner. Energy and maintenance costs are large consumers of operational budgets and offer opportunity for improvement through machine learning and data analysis. From prediction and forecasting to outcome optimization, several machine learning techniques are uniquely suited for applications in building management. In addition to maintenance and operational improvements, machine learning, combined with sensors and intelligent environmental systems can help improve occupant satisfaction and worker productivity through improvements in air quality and lighting conditions. As enhancements in machine learning and artificial intelligence continue, the application for improvement in building operations will expand as well. © 2024 International Association for Computer Information Systems. All rights reserved.",building management; energy; machine learning; neural networks; productivity; sustainability,,English,Scopus,Article
"Karahan, Azize (6507183965); Avcı Işık, Sevcan (56955813100); Çevik, Banu (57032242600); Budak Ertürk, Elif (57215502910); Çevik Aydın, Firuze (57956130800); Böke Kılıçlı, Arnel (57956351300); Akçın, Birgül (57956351400); Acar, Aysel (57955670700); Dudu Gülkan, Ayşe (57955447400); Aybar Bilir, Yeşim (57221290110)",determination of thermal comfort among nurses working with personal protective equipment in covid-19 clinics,2022,International Journal of Nursing Practice,6,10.1111/ijn.13112,https://www.scopus.com/pages/publications/85141419740?origin=resultslist,"Aims: This study aimed to determine thermal comfort among nurses working with personal protective equipment in COVID-19 clinic. Methods: In this study, a descriptive design was carried out between June and September 2020. Sample of the study consisted of 246 nurses (77.6%) who worked in the COVID-19 clinics with personal protective equipment. We used a questionnaire to determine thermal comfort of nurses; a follow-up form to determine the factors affecting thermal comfort; and the ASHRAE Thermal Sensation Scale. Four measurements and follow-ups were made three times. Results: More than half of nurses complained of ambient temperature and ventilation, one-third complained of humidity and nearly half complained of poor air quality. The mean thermal comfort score of nurses working in COVID-19 clinics was 1.19 (SD = 0.75). The thermal comfort of the nurses was negatively affected in all measurements except before wearing personal protective equipment. The highest scores were measured leaving the patient room and before removing personal protective equipment (M = 2.65, SD = 0.58). Conclusion: The thermal comfort, work performance and stress levels of the nurses were negatively affected by working with personal protective equipment. This study reveals the necessity of improving the working conditions of nurses, including working hours, environment and personal protective equipment. © 2022 John Wiley & Sons Australia, Ltd.",COVID-19; nursing; personal protected equipment; thermal comfort; thermal sensation,COVID-19; Humans; Personal Protective Equipment; Surveys and Questionnaires; epidemiology; human; prevention and control; protective equipment; questionnaire,English,Scopus,Article
"Wang, Chunhua (58409091000); Wu, JunJie (57203272551); Zhang, Bing (57219488478)","environmental regulation, emissions and productivity: evidence from chinese cod-emitting manufacturers",2018,Journal of Environmental Economics and Management,251,10.1016/j.jeem.2018.08.004,https://www.scopus.com/pages/publications/85054827738?origin=resultslist,"In recent years, China's environmental regulation efforts have mainly focused on severely polluted “key regions.” The central government has designated the “three rivers and three lakes basins” (3Rs3Ls) as key regions for water pollution control and has imposed a variety of regulations to improve water quality in those basins. This paper evaluates the effects of the water quality regulations on firms’ emissions of chemical oxygen demand (COD) and productivity in the 3Rs3Ls basins. We find that although the water quality regulations forced many small, heavily-polluting firms to shut down, they had no statistically significant effects on surviving firms’ productivity because they were ineffective in reducing their COD emissions. A policy that forces the surviving firms to reduce their emissions would reduce their output values and productivity, at least in the short run. However, the effect is likely to be small. Specifically, a 10% reduction in total COD emissions from the industrial sectors would require only a 0.1% reduction in output values under the current production technologies. These findings are robust to alternative specifications and sampling strategies. © 2018 Elsevier Inc.",Chemical oxygen demand; China; Emissions; Environmental regulation; Manufacturing; Productivity,China; Chemical oxygen demand; Industrial emissions; Lake pollution; Manufacture; Particulate emissions; Productivity; Quality control; River pollution; Water pollution control; Water quality; Central government; China; Current production; Industrial sector; Output values; Quality regulation; Sampling strategies; carbon emission; chemical oxygen demand; emission control; environmental management; governance approach; industrial emission; manufacturing; pollution control; pollution policy; strategic approach; water pollution; water quality; Environmental regulations,English,Scopus,Article
"Chang, Tom (57059671200); Zivin, Joshua Graff (7005123294); Gross, Tal (37049754300); Neidell, Matthew (8961118600)",particulate pollution and the productivity of pear packers,2016,American Economic Journal: Economic Policy,419,10.1257/pol.20150085,https://www.scopus.com/pages/publications/84981313845?origin=resultslist,"We study the effect of outdoor air pollution on the productivity of indoor workers at a pear-packing factory. Increases in fine particulate matter (PM2.5), a pollutant that readily penetrates indoors, leads to significant decreases in productivity, with effects arising at levels below air quality standards. In contrast, pollutants that do not travel indoors, such as ozone, have little, if any, effect on productivity. This effect of outdoor pollution on indoor worker productivity suggests an overlooked consequence of pollution. Back-of-the-envelope calculations suggest the labor savings from nationwide reductions in PM2.5 generated a sizable fraction of total welfare benefits.",,,English,Scopus,Article
"Hu, Wenbo (57227100900); He, Canfei (7402283598); Sheng, Hantian (58197146800)","out with the breath, out with the firms: air pollution and foreign-invested firms exit in china",2026,Structural Change and Economic Dynamics,0,10.1016/j.strueco.2026.03.012,https://www.scopus.com/pages/publications/105034679139?origin=resultslist,"AbstractWhile existing studies have focused on the economic determinants of foreign firm exit, few have considered the influence of environmental factors. This study addresses this gap by examining how air pollution affects the foreign-invested firm exit in China, employing a regression discontinuity design to identify causal effects. The results reveal three key findings. First, high levels of air pollution significantly increase the likelihood of foreign firm exit, with heterogeneity across cities differing in economic development, government environmental attention, and foreign firm incumbents. Second, three influencing mechanisms are identified, that is, reductions in labor productivity, labor stock, and financial support. Third, foreign firms exhibit the highest sensitivity to air pollution, followed by private firms, whereas state-owned firms show insignificant responses. This study contributes to the theoretical understanding of how air pollution affects foreign firm dynamics, and provides strategies to enhance environmental governance to improve air quality and sustain foreign investment. © 2026 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Air pollution; Foreign firm exit; Industrial restructuring; Regional development; Regression discontinuity design,China; atmospheric pollution; economic analysis; firm size; heterogeneity; investment; regional development; regression analysis,English,Scopus,Article
"Dzushupov, Kenesh O. (57222311699); Buban, Julian M. A. (57866889400); Aidaraliev, Arsen A. (59868104200); Ahmadi, Attaullah (57219362523); Chahal, Priyanka (57299661400); Ibrahim, Muiz (57778152100); Lin, Xu (57212082651); Kouwenhoven, M.B.N. (17345922900)","air pollution in bishkek, kyrgyzstan: driving factors and state response",2022,Public Health Challenges,13,10.1002/puh2.22,https://www.scopus.com/pages/publications/85163727299?origin=resultslist,"The present article aims to describe the status quo of the atmospheric air quality in Bishkek and the state measures taken to improve it and to give the perspective of research and policy development. Air pollution is one of the major environmental risks for premature death from respiratory diseases, cancer, strokes, heart attacks, diabetes, and other diseases. It exerts a negative effect on worker productivity and mental health. In the last 30 years, Bishkek, the capital of the Kyrgyz Republic, has turned from one of the cleanest and greenest cities in the former Soviet Union to one of the most polluted cities in the world. The roots of that transformation lie in the negative socio-economic changes taking place in the country, including the population doubling of Bishkek mainly due to internal migration, uncontrolled construction of houses without relevant infrastructure, worsening socio-economic conditions, increased number of used vehicles, and low quality of gasoline. The main sources of air pollution in Bishkek are domestic heating and vehicle exhaust fumes. During the winter, air pollution is aggravated by frequent temperature inversion and air stagnation due to air trapping by high-rise buildings. The state's approaches and measures to address this issue are reflected in its laws and policies. The city and national government have taken a range of strategic measures to transform Bishkek into a green city with a favourable environment. Recommendations on research and policy development are provided in this perspective. © 2022 The Authors. Public Health Challenges published by John Wiley & Sons Ltd.",air pollution; Bishkek; disease burden; health; Kyrgyzstan,,English,Scopus,Article
"Bretschger, Lucas (6602609744)",malthus in the light of climate change,2020,European Economic Review,27,10.1016/j.euroecorev.2020.103477,https://www.scopus.com/pages/publications/85085522493?origin=resultslist,"To reconsider the Malthusian predictions of natural limits to economic development, the paper develops a multi-sector growth model with exhaustible resource extraction, investments in physical and knowledge capital, climate change, and endogenous fertility. Economic growth is driven by endogenous innovations which increase in the availability and productivity of research labour. Poor substitution of natural resources triggers sectoral change. Climate change is the result of polluting resource use which is, like consumption and investments, based on the intertemporal optimization of the households. Highlighting the importance of bounded resource supply and of rational extraction decisions I show that climate change is independent of population growth in steady state and there is no causal relationship between climate and population during transition to steady state. The consumption per capita growth rate rises in the innovation rate and the output elasticities of labour and capital in the different sectors. Unlike climate policy, population policy is not warranted; it may be counterproductive because labour is crucial for the research sector. © 2020 The Author(s)",Climate change; Endogenous innovation; Fertility choice; Population growth; Sectoral change,climate change; economic development; fertility; growth modeling; innovation; investment; Malthusian theory; population growth; structural change,English,Scopus,Article
"Nazneen, Shahla (57200800365); Khan, Sardar (15136371100); Ishtiaq, Muhammad (54384692400); Yousaf, Saeeda (55581981900); Shakoor, Huma (59920697400)",effects of noise pollution on the health of exposed population and its threshold levels: a review,2017,Journal of Medical Sciences (Peshawar),4,,https://www.scopus.com/pages/publications/85042406329?origin=resultslist,"Objectives: This review paper focused on the adverse effects of noise on the health of exposed population. Material and Methods: Recent publications on the effects of noise pollution are critically reviewed and threshold levels determined by various researchers are presented in this review paper. Results: This paper shows that noise not only poses serious health risks such as physiological, physical, psychological effects on the exposed population but also imposes various adverse effects on the wellbeing of humans. It also affects the worker’s performances who are exposed to high noise levels, depending on the length of time. Questionnaire surveys have revealed that noise is believed to be a cause of many diseases. Recommendation: It is recommended that noise legislations enacted by the concerned departments should be strictly implemented to save the population from adverse effects of noise. © 2017, Khyber Medical College. All rights reserved.",Health effects; Noise; Threshold levels,auditory threshold; endocrine disease; health hazard; hearing impairment; human; job performance; long term exposure; mental disease; noise injury; noise pollution; nonhuman; occupational exposure; physical disease; Review; sleep disorder; vulnerable population; wellbeing,English,Scopus,Review
