Title,Author,Year,Citation count,Open access,DOI,Abstract
Effect of Ambient Ozone Exposure on Lung Function in Farm Workers,Michael Bräuer|J. Anthony Blair|Sverre Vedal,1996,49,NOT Open Access,https://doi.org/10.1164/ajrccm.154.4.8887595,
Assessing plant response to ambient ozone: growth of ozone-sensitive loblolly pine seedlings treated with ethylenediurea or sodium erythorbate,William J. Manning|Richard B. Flagler|Martin Frenkel,2003,48,NOT Open Access,https://doi.org/10.1016/s0269-7491(03)00141-6,
Effects of Ambient Ozone Exposure on Mail Carriers’ Peak Expiratory Flow Rates,Chang‐Chuan Chan|Tsung-Huan Wu,2005,45,Open Access,https://doi.org/10.1289/ehp.7636,"The extent to which occupational exposure to ozone in ambient air can affect lung function remains unclear. We conducted a panel study in 43 mail carriers by measuring their peak expiratory flow rates (PEFRs) twice daily for 6 weeks in 2001. The daily exposure of each mail carrier to O3, particulate matter < 10 microm in aerodynamic diameter (PM10), and nitrogen dioxide was estimated by one air monitoring station in the center of the mail carrier's delivery area. Hourly concentrations of air pollutants during their exposure periods were 6-96 ppb for O3, 11-249 microg/m3 for PM10, and 14-92 ppb for NO2. Linear mixed-effects models were used to estimate the association between air pollution exposures and PEFR after adjusting for subject's sex, age, and disease status and for temperature and humidity. We found that night PEFR and the deviation in night PEFR were significantly decreased in association with 8-hr O3 exposures with a lag 0-2 days and by daily maximum O3 exposures with a lag of 0-1 day in our multipollutant models. By contrast, neither PM10 nor NO2 was associated with a PEFR reduction. Daily 8-hr mean concentrations of O3 had greater reduction effects on PEFR than did daily maximum concentrations. For a 10-ppb increase in the 8-hr average O3 concentration, the night PEFR was decreased by 0.54% for a 0-day lag, 0.69% for a 1-day lag, and 0.52% for a 2-day lag. We found that an acute lung function reduction occurs in mail carriers exposed to O3 concentrations below current ambient air quality standards and occupational exposure limits."
Pollution effects on labor supply and growth,Stefano Bosi|David Desmarchelier|Lionel Ragot,2015,13,Open Access,https://doi.org/10.1111/ijet.12071,"Abstract Recent empirical contributions have observed a significant negative impact of pollution on labor supply. These impacts have been largely ignored in the theoretical literature, which has focused on the effects of pollution on consumption demand. In this paper we study the short‐ and long‐run effects of pollution in a Ramsey model where pollution and labor supply are non‐separable arguments in households’ preferences. We determine sufficient conditions for the existence and uniqueness of a long‐term equilibrium and we show how large (negative) effects of pollution on labor supply may promote macroeconomic volatility (deterministic cycles near the steady state) through a flip bifurcation."
Personal and Fixed-Site Ozone Measurements with a Passive Sampler,Michael Bräuer|Jeffrey R. Brook,1995,42,Open Access,https://doi.org/10.1080/10473289.1995.10467384,"Personal exposures to ozone were measured in the summers of 1992 and 1993 in the Fraser Valley, a suburban and rural river valley bordering the metropolitan region of Vancouver, British Columbia (population approximately 1.8 million). In 1992, two groups of 25 healthy individuals were selected for 14 consecutive days of 24-hour personal monitoring, based on prior expectations of their activity patterns. The first group, composed of adult healthcare workers, was expected to spend most of the work day indoors or commuting. The second group, teenage camp counselors, was expected to spend more time outdoors. Time-activity data were collected to investigate the association between activity patterns and ozone exposures. In 1993, 15 adult farmworkers wore personal ozone samplers during their workday, which was spent entirely outdoors. Personal monitoring was conducted with a nitrite-coated filter passive ozone sampler described by Koutrakis and colleagues. Ozone collection rates were determined empirically by collocation of the passive samplers with continuous ozone analyzers at fixed sampling sites. Sampler performance was assessed by collecting several duplicate personal samples. Although ozone levels were low (< 35 ppb 24-hour average) during both summer sampling periods, the passive ozone samplers agreed well with collocated UV absorption ozone measurements. Based on replicate personal samples, we estimated that personal measurements differing by more than 35% were associated with true differences in exposure. Within the two groups with varying time activities, differences in ozone exposures were associated with the fraction of time spent outdoors. Similarly, differences in ozone exposures were observed between the three sampling populations, with higher exposures recorded in the group that spent more time outdoors.(ABSTRACT TRUNCATED AT 250 WORDS)"
Ozone Exposure among Mexico City Outdoor Workers,Marie S. O’Neill|Matiana Ramírez-Aguilar|Fernando Meneses-González|Mauricio Hernández‐Ávila|Alison S. Geyh|Juan José Luis Sienra-Monge|Isabelle Romieu,2003,24,Open Access,https://doi.org/10.1080/10473289.2003.10466156,"In researching health effects of air pollution, pollutant levels from fixed-site monitors are commonly assigned to the subjects. However, these concentrations may not reflect the exposure these individuals actually experience. A previous study of ozone (O3) exposure and lung function among shoe-cleaners working in central Mexico City used fixed-site measurements from a monitoring station near the outdoor work sites as surrogates for personal exposure. The present study assesses the degree to which these estimates represented individual exposures. In 1996, personal O3 exposures of 39 shoe-cleaners working outdoors were measured using an active integrated personal sampler. Using mixed models, we assessed the relationship between measured personal O3 exposure and ambient O3 measurements from the fixed-site monitoring station. Ambient concentrations were approximately 50 parts per billion higher, on average, than personal exposures. The association between personal and ambient O3 was highly significant (mixed model slope p < 0.0001). The personal/ambient ratio was not constant, so use of the outdoor monitor would not be appropriate to rank O3 exposure and evaluate health effects between workers. However, the strong within-worker longitudinal association validates previous findings associating day-to-day changes in fixed-site O3 levels with adverse health effects among these shoe-cleaners and suggests fixed-site O3 monitors may adequately estimate exposure for other repeated-measure health studies of outdoor workers."
Persistence of the acute effects of ozone exposure.,Lawrence J. Folinsbee|Steven M. Horvath,1986,16,NOT Open Access,,
Review of Economics and Statistics,,2005,1473,NOT Open Access,https://doi.org/10.1002/0471667196.ess7028.pub2,
Does Air Quality Matter? Evidence from the Housing Market,Kenneth Y. Chay|Michael Greenstone,1998,689,Open Access,https://doi.org/10.3386/w6826,"We exploit the structure of the Clean Air Act to provide new evidence on the capitalization of total suspended particulates (TSPs) air pollution into housing values. This legislation imposes strict regulations on polluters in “nonattainment” counties, which are defined by concentrations of TSPs that exceed a federally set ceiling. TSPs nonattainment status is associated with large reductions in TSPs pollution and increases in county-level housing prices. When nonattainment status is used as an instrumental variable for TSPs, we find that the elasticity of housing values with respect to particulates concentrations ranges from 0.20 to 0.35. These estimates of the average marginal willingness to pay for clean air are robust to quasi-experimental regression discontinuity and matching specification tests. Further, they are far less sensitive to model specification than cross-sectional and fixed-effects estimates, which occasionally have the “perverse” sign. We also find modest evidence that the marginal benefit of reductions of TSPs is lower in communities with relatively high pollution levels,"
Air Pollution and Lost Work,Jerry A. Hausman|Bart Ostro|David A. Wise,1984,70,Open Access,https://doi.org/10.3386/w1263,"A Poisson specification of the relationship between atmospheric pollution and lost work days is estimated. An important feature of the procedure is control for city-specific effects. A major source of ambiguity in interpreting the results of observational data on pollution versus health status or death rates is that pollution in a city may be correlated with other characteristics of that city that affect these outcomes but are not controlled for in the analysis. Or, individual attributes of residents may be correlated with pollution levels but not accounted for in the analysis. Our results suggest a statistically significant and quantitatively important effect of total suspended particulates on work days lost. A standard deviation increase in total suspended particulates is associated with approximately a ten percent increase in work days lost. As a concomitant of our analysis, we also find a substantial relationship between smoking by others in the individual's household and work days lost by non-smokers."
Incentive Effect of Piece-Rate Contracts: Evidence from Two Small Field Experiments,Lan Shi,,24,NOT Open Access,https://doi.org/10.2202/1935-1682.2539,
