Title,Author,Year,Citation count,Open access,DOI,Abstract
Identification and Estimation of Local Average Treatment Effects,Guido W. Imbens|Joshua D. Angrist,1994,4157,NOT Open Access,https://doi.org/10.2307/2951620,
Global non-linear effect of temperature on economic production,Marshall Burke|Solomon Hsiang|Edward Miguel,2015,2890,Open Access,https://doi.org/10.1038/nature15725,
Performance Pay and Productivity,Edward P. Lazear,2000,2541,NOT Open Access,https://doi.org/10.1257/aer.90.5.1346,
Evidence on the impact of sustained exposure to air pollution on life expectancy from China’s Huai River policy,Yuyu Chen|Avraham Ebenstein|Michael Greenstone|Hongbin Li,2013,1789,Open Access,https://doi.org/10.1073/pnas.1300018110,"This paper's findings suggest that an arbitrary Chinese policy that greatly increases total suspended particulates (TSPs) air pollution is causing the 500 million residents of Northern China to lose more than 2.5 billion life years of life expectancy. The quasi-experimental empirical approach is based on China's Huai River policy, which provided free winter heating via the provision of coal for boilers in cities north of the Huai River but denied heat to the south. Using a regression discontinuity design based on distance from the Huai River, we find that ambient concentrations of TSPs are about 184 μg/m(3) [95% confidence interval (CI): 61, 307] or 55% higher in the north. Further, the results indicate that life expectancies are about 5.5 y (95% CI: 0.8, 10.2) lower in the north owing to an increased incidence of cardiorespiratory mortality. More generally, the analysis suggests that long-term exposure to an additional 100 μg/m(3) of TSPs is associated with a reduction in life expectancy at birth of about 3.0 y (95% CI: 0.4, 5.6)."
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Temperature and the Allocation of Time: Implications for Climate Change,Joshua Graff Zivin|Matthew Neidell,2013,1019,NOT Open Access,https://doi.org/10.1086/671766,
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,https://doi.org/10.1073/pnas.1809474115,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions."
Happiness in the air: How does a dirty sky affect mental health and subjective well-being?,Xin Zhang|Xiaobo Zhang|Xi Chen,2017,676,Open Access,https://doi.org/10.1016/j.jeem.2017.04.001,
Social Preferences and the Response to Incentives: Evidence from Personnel Data,Oriana Bandiera|Iwan Barankay|Imran Rasul,2005,649,NOT Open Access,https://doi.org/10.1093/qje/120.3.917,
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,https://doi.org/10.1257/pol.20150085,
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,https://doi.org/10.1111/ecoj.12273,
‘Effortless Perfection:’ Do Chinese cities manipulate air pollution data?,Dalia Ghanem|Junjie Zhang,2014,571,NOT Open Access,https://doi.org/10.1016/j.jeem.2014.05.003,
"Air pollution, health, and socio-economic status: the effect of outdoor air quality on childhood asthma",Matthew Neidell,2004,527,NOT Open Access,https://doi.org/10.1016/j.jhealeco.2004.05.002,
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,https://doi.org/10.1257/app.20160436,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)"
Air Pollution and Infant Health: What Can We Learn from California's Recent Experience?,Janet Currie|Matthew Neidell,2005,462,NOT Open Access,https://doi.org/10.1093/qje/120.3.1003,
Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,Jiaxiu He|Haoming Liu|Alberto Salvo,2019,460,NOT Open Access,https://doi.org/10.1257/app.20170286,
The effect of Beijing's driving restrictions on pollution and economic activity,V. Brian Viard|Shihe Fu,2015,416,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2015.02.003,
Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates for China,Shihe Fu|V. Brian Viard|Peng Zhang,2021,382,NOT Open Access,https://doi.org/10.1093/ej/ueab033,
"Growth, Pollution, and Life Expectancy: China from 1991–2012",Avraham Ebenstein|Maoyong Fan|Michael Greenstone|Guojun He|Peng Yin|Maigeng Zhou,2015,341,NOT Open Access,https://doi.org/10.1257/aer.p20151094,
"Air Quality and Error Quantity: Pollution and Performance in a High-Skilled, Quality-Focused Occupation",James Archsmith|Anthony Heyes|Soodeh Saberian,2018,227,Open Access,https://doi.org/10.1086/698728,"We provide the first evidence that short-term exposure to air pollution affects the work performance of a group of highly skilled, quality-focused employees. We repeatedly observe the decision making of individual professional baseball umpires, quasi-randomly assigned to varying air quality across time and space. Unique characteristics of this setting combined with high-frequency data disentangle effects of multiple pollutants and identify previously underexplored acute effects. We find that a 1 ppm increase in 3-hour CO causes an 11.5% increase in the propensity of umpires to make incorrect calls and a 10 μg/m3 increase in 12-hour PM2.5 causes a 2.6% increase. We control carefully for a variety of potential confounders, and results are supported by robustness and falsification checks. Our estimates imply that a 3% reduction in productive output is associated with a change in CO concentrations equivalent to moving from the 25th to the 95th percentile of the CO distribution in many of the largest US cities."
Gaming in Air Pollution Data? Lessons from China,Chen Yuyu|Jin Ginger Zhe|Naresh Kumar|Guang Shi,,149,NOT Open Access,https://doi.org/10.1515/1935-1682.3227,
Air Quality and Error Quantity: Impacts of Ambient Air Quality on Worker Productivity and Decision-Making,James Archsmith,2015,62,Open Access,https://doi.org/10.2139/ssrn.2683656,
Air Quality and Manufacturing Firm Productivity: Comprehensive Evidence from China,Shihe Fu|Peng Zhang,2017,41,Open Access,https://doi.org/10.2139/ssrn.2956505,
