Title,Author,Year,Citation count,Open access,DOI,Abstract
How Much Should We Trust Differences-In-Differences Estimates?,M. Bertrand|Esther Duflo|Sendhil Mullainathan,2004,10760,Open Access,https://doi.org/10.1162/003355304772839588,"Most papers that employ Differences-in-Differences estimation (DD) use many years of data and focus on serially correlated outcomes but ignore that the resulting standard errors are inconsistent. To illustrate the severity of this issue, we randomly generate placebo laws in state-level data on female wages from the Current Population Survey. For each law, we use OLS to compute the DD estimate of its “effect” as well as the standard error of this estimate. These conventional DD standard errors severely understate the standard deviation of the estimators: we find an “effect” significant at the 5 percent level for up to 45 percent of the placebo interventions. We use Monte Carlo simulations to investigate how well existing methods help solve this problem. Econometric corrections that place a specific parametric form on the time-series process do not perform well. Bootstrap (taking into account the autocorrelation of the data) works well when the number of states is large enough. Two corrections based on asymptotic approximation of the variance-covariance matrix work well for moderate numbers of states and one correction that collapses the time series information into a “pre”- and “post”-period and explicitly takes into account the effective sample size works well even for small numbers of states."
Time to Build and Aggregate Fluctuations,Finn E. Kydland|Edward C. Prescott,1982,5923,NOT Open Access,https://doi.org/10.2307/1913386,
Air pollution and health,Bert Brunekreef|Stephen T. Holgate,2002,4711,Open Access,https://doi.org/10.1016/s0140-6736(02)11274-8,
Robust Inference With Multiway Clustering,A. Colin Cameron|Jonah B. Gelbach|Douglas L. Miller,2011,3151,NOT Open Access,https://doi.org/10.1198/jbes.2010.07136,
What Determines Productivity?,Chad Syverson,2011,2798,NOT Open Access,https://doi.org/10.1257/jel.49.2.326,
Creative accounting or creative destruction? Firm-level productivity growth in Chinese manufacturing,Loren Brandt|Johannes Van Biesebroeck|Yifan Zhang,2011,2327,Open Access,https://doi.org/10.1016/j.jdeveco.2011.02.002,
Random group effects and the precision of regression estimates,Brent R. Moulton,1986,1664,NOT Open Access,https://doi.org/10.1016/0304-4076(86)90021-7,
Why Some Firms Export,Andrew B. Bernard|J. Bradford Jensen,2004,1545,NOT Open Access,https://doi.org/10.1162/003465304323031111,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Does Air Quality Matter? Evidence from the Housing Market,Kenneth Y. Chay|Michael Greenstone,2005,996,NOT Open Access,https://doi.org/10.1086/427462,
Multiple-Product Firms and Product Switching,Andrew B. Bernard|Stephen J. Redding|Peter K. Schott,2010,914,Open Access,https://doi.org/10.1257/aer.100.1.70,"This paper examines the frequency, pervasiveness, and determinants of product switching by US manufacturing firms. We find that one-half of firms alter their mix of five-digit SIC products every five years, that product switching is correlated with both firm- and firm-product attributes, and that product adding and dropping induce large changes in firm scope. The behavior we observe is consistent with a natural generalization of existing theories of industry dynamics that incorporates endogenous product selection within firms. Our findings suggest that product switching contributes to a reallocation of resources within firms toward their most efficient use. (JEL L11, L21, L25, L60)"
Multiproduct Firms and Trade Liberalization,Andrew B. Bernard|Stephen J. Redding|Peter K. Schott,2011,885,Open Access,https://doi.org/10.1093/qje/qjr021,"This article develops a general equilibrium model of multiple-product, multiple-destination firms, which allows for heterogeneity in ability across firms and in product attributes within firms. Firms make endogenous entry and exit decisions and each surviving firm chooses optimally the range of products to supply to each market. We show that the resulting selection, across and within firms, provides a natural explanation for a number of features of trade across firms, products, and countries. Using both time-series changes in trade policy and cross-section variation in trade, we provide empirical evidence in support of the predictions of the model."
"Deposition, resuspension, and penetration of particles within a residence",Tracy L. Thatcher,1995,857,NOT Open Access,https://doi.org/10.1016/1352-2310(95)00016-r,
"Processing Trade, Tariff Reductions and Firm Productivity: Evidence from Chinese Firms",Miaojie Yu,2014,849,NOT Open Access,https://doi.org/10.1111/ecoj.12127,
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,Tatyana Deryugina|Garth Heutel|Nolan Miller|David Molitor|Julian Reif,2019,779,NOT Open Access,https://doi.org/10.1257/aer.20180279,
