Title,Author,Year,Citation count,Open access,DOI,Abstract
Travel and the Built Environment,Reid Ewing|Robert Cervero,2010,5277,NOT Open Access,https://doi.org/10.1080/01944361003766766,
"The Spatial Economy: Cities, Regions, and International Trade",Thomas J. Holmes|Masahisa Fujita|Paúl Krugman|Anthony J. Venables,2000,5121,NOT Open Access,https://doi.org/10.2307/1061487,
"Travel demand and the 3Ds: Density, diversity, and design",Robert Cervero|Kara M. Kockelman,1997,4521,NOT Open Access,https://doi.org/10.1016/s1361-9209(97)00009-6,
Chapter 49 Evidence on the nature and sources of agglomeration economies,Stuart S. Rosenthal|William C. Strange,2004,2249,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80006-3,
Chapter 48 Micro-foundations of urban agglomeration economies,Gilles Duranton|Diego Puga,2004,1353,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80005-1,
Spatial wage disparities: Sorting matters!,Pierre‐Philippe Combes|Gilles Duranton|Laurent Gobillon,2007,1125,NOT Open Access,https://doi.org/10.1016/j.jue.2007.04.004,
Cities and Skills,Edward L. Glaeser|David C. Maré,2001,1113,NOT Open Access,https://doi.org/10.1086/319563,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
"The, Market as a Factor in the Localization of Industry in the United States",Chauncy D. Harris,1954,1006,NOT Open Access,https://doi.org/10.1080/00045605409352140,
Agglomeration effects in Europe,Antonio Ciccone,2002,989,NOT Open Access,https://doi.org/10.1016/s0014-2921(00)00099-4,
Urban Growth and Transportation,Gilles Duranton|Matthew A. Turner,2012,946,NOT Open Access,https://doi.org/10.1093/restud/rds010,
THE MAGNITUDE AND CAUSES OF AGGLOMERATION ECONOMIES,Diego Puga,2010,924,NOT Open Access,https://doi.org/10.1111/j.1467-9787.2009.00657.x,
The Productivity Advantages of Large Cities: Distinguishing Agglomeration From Firm Selection,Pierre‐Philippe Combes|Gilles Duranton|Laurent Gobillon|Diego Puga|Sébastiên Roux,2012,870,NOT Open Access,https://doi.org/10.3982/ecta8442,
A meta-analysis of estimates of urban agglomeration economies,Patrícia C. Melo|Daniel J. Graham|Robert B. Noland,2008,829,NOT Open Access,https://doi.org/10.1016/j.regsciurbeco.2008.12.002,
Efficiency of resource usage and city size,J. Vernon Henderson,1986,694,NOT Open Access,https://doi.org/10.1016/0094-1190(86)90030-6,
Urban mobility and urban form: the social and environmental costs of different patterns of urban expansion,Roberto Camagni|María Cristina Gibelli|Paolo Rigamonti,2002,678,NOT Open Access,https://doi.org/10.1016/s0921-8009(01)00254-3,
The Productivity of Cities,Leo Sveikauskas,1975,510,NOT Open Access,https://doi.org/10.2307/1885259,
The Market as a Factor in the Localization of Industry in the United States,Chauncy D. Harris,1954,487,NOT Open Access,https://doi.org/10.2307/2561395,
