longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,0626629,"Crecimiento endogeno, polucion y cooperacion internacional. (With English summary.)","This study quantifies the gains derived from international cooperation in environmental matters in an endogenous growth model, through the accumulation of human capital. It also analyses the effects of cooperation on growth rates. The study shows that while pollution is generated through accumulation of physical capital, the results of international cooperation are positive, because such cooperation does not affect the motor of growth and reduces overall pollution levels, bringing about an undisputable improvement in the well-being of the countries in question. The study also shows that the more global the environmental problem--or the greater the social concern it arouses--the greater the gains derived from cooperation. Conversely, the more pollutant the technology used by the countries, the lower the gains.",20020101,"Baranano, Ilaski ; Escapa, Marta",Journal Article,Journal Article,1st Quadrimester 2002,,Ekonomiaz,"Renewable Resources and Conservation: Water ; One, Two, and Multisector Growth Models ; Renewable Resources and Conservation: Government Policy ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Investment; Capital; Intangible Capital; Capacity",JOUR,,,0213-3865,,,,,spa,,53,36,18,,49,,,,,https://research.ebsco.com/plink/a5301787-feb0-3059-a4f4-9ea4c48bbf23,,,,
EconLit with Full Text,eoh,1241153,"Taxe environnementale, morbidite et profil de productivite. (Environmental Tax, Morbidity and Productivity Profile. With English summary.)","We revisit the influence of environmental policy on economic activity taking into account the impact of pollution on morbidity and its effect on the labor productivity age-profile. We find that the negative effect of environmental policy on the standard of living is modified by two opposite health effects. The first health effect increases per capita efficient labor, which attenuates the negative impact of environmental taxation on the standard of living. The second health effect decreases saving, which increases the negative impact of environmental policy on the standard of living. The second health effect appears because the age-specific impact of pollution on health is taken into account.",20110501,"Mathieu-Bolh, Nathalie ; Pautrel, Xavier",Journal Article,Journal Article,May 2011,true,Revue Economique,Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Health Behavior ; Health: Government Policy; Regulation; Public Health ; Environmental Economics: Government Policy,JOUR,,,0035-2764 ; 1950-6694,,,,,fra,,509,501,9,62,3,,,,,https://research.ebsco.com/plink/36a1dee9-cb48-31d5-8611-bb264e2d8b35,,,,
EconLit with Full Text,eoh,0608221,Environmental Policy in an Endogenous Growth Model with Human Capital and Endogenous Labor Supply,This paper analyses environmental fiscal policy within a two-sector endogenous growth model with elastic labor supply. Pollution is modeled as a side product of production. The framework allows us to analyze the consequences of an environmental tax on the economic dynamics. Both transitional dynamics and balanced growth path are computed and the response to an environmental tax change is explored. Short- and long-run welfare costs are also computed. We show that an environmental tax change induces a sharp contrast between short- and long-run effects. The magnitude of this contrast depends on the agents' aptitude to substitute studying time for leisure.,20020501,"Oueslati, Walid",Journal Article,Journal Article,May 2002,true,Economic Modelling,"Renewable Resources and Conservation: Government Policy ; One, Two, and Multisector Growth Models ; Renewable Resources and Conservation: Water ; Human Capital; Skills; Occupational Choice; Labor Productivity",JOUR,,,0264-9993,,,,,eng,,507,487,21,19,3,,,,,https://research.ebsco.com/plink/f1e977f4-b238-3cf1-88ff-ab67a60cba81,,,,
EconLit with Full Text,eoh,1466319,The Long Run Human Capital and Economic Consequences of High-Stakes Examinations,"Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences for long-term schooling attainment and labor market outcomes. We evaluate this hypothesis among Israeli high school students who took a series of high stakes matriculation exams between 2000 and 2002. As a source of random (transitory) shocks to high-stakes matriculation test scores, we use exposure to ambient air pollution during the day of the exam. First, we document a significant and negative relationship between average PM2.5 exposure during exams and student composite scores, post-secondary educational attainment, and earnings during adulthood. Second, using PM2.5 as an instrument, we estimate a large economic return to each point on the exam and each additional year of post-secondary education. Third, we examine the return to exam scores and schooling across sub-populations, and find the largest effects among boys, better students, and children from higher socio-economic backgrounds. The results suggest that random disturbances during high-stakes examinations can have long-term consequences for schooling and labor market outcomes, while also highlighting the drawbacks of using high-stakes examinations in university admissions.",20140101,"Lavy, Victor ; Ebenstein, Avraham ; Roth, Sefi",Working Paper,Working Paper,2014,,The Long Run Human Capital and Economic Consequences of High-Stakes Examinations,Analysis of Education ; Human Capital; Skills; Occupational Choice; Labor Productivity,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 20647",,,,,,,,,,https://research.ebsco.com/plink/691ee94d-09a4-3346-b4a5-7ec1ac470ef5,,,,
EconLit with Full Text,eoh,0524085,"Environmental Policy, Distortionary Labour Taxation and Employment: Pollution Taxes and the Double Dividend",,19970101,"Bovenberg, A. Lans ; Carraro, Carlo ; Siniscalco, Domenico",Collective Volume Article,Collective Volume Article,1997,,New directions in the economic theory of the environment,Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Taxation and Subsidies: Efficiency; Optimal Taxation ; Fiscal Policies and Behavior of Economic Agents: Household ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Renewable Resources and Conservation: Government Policy,CHAP,,0-521-59089-2,,,,,,eng,Cambridge; New York and Melbourne: Cambridge University Press,104,69,36,,,,,,,https://research.ebsco.com/plink/038fd5a6-fc3e-3991-b7cf-4c576abfb6b4,,,,
EconLit with Full Text,eoh,1235830,Environmental Outsourcing,"In recent years there has been a dramatic increase in the number of firms shifting stages of their production processes overseas. In this paper we investigate whether firms outsource the dirtier stages of production to minimise domestic environmental regulation costs--a process broadly consistent with the pollution haven hypothesis. We develop a theoretical model of environmental outsourcing that focuses on the roles played by firm size and productivity, transport costs and environmental regulations. We test the model's predictions using a firm-level data set for Japan and do find evidence of an 'environmental outsourcing' effect.",20110101,"Cole, Matthew A. ; Elliott, Robert J. R. ; Okubo, Toshihiro",Working Paper,Working Paper,2011,,Environmental Outsourcing,"Trade and Environment ; Economics of Regulation ; Industry Studies: Manufacturing: General ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth ; Real Estate Markets, Spatial Production Analysis, and Firm Location: General",GEN,,,,,,,,eng,"Research Institute for Economics & Business Administration, Kobe University, Discussion Paper Series: DP2011-12",,,,,,,,,,https://research.ebsco.com/plink/98113aaa-14cc-3cb8-a769-088d3f606d0d,,,,
EconLit with Full Text,eoh,0585307,China in the global economy,"Sixteen papers presented at the eleventh annual conference of the Association of Chinese Economic Studies (Australia), held at the University of Melbourne in July 1999, contribute to the current debate on the prospects of the Chinese economy and its role in the global economy of the new century. Papers discuss the adjustment of macroeconomic policies in China; the political economy of China's declining growth; savings functions for a multisector, computable-general-equilibrium model of the Chinese economy; the productive performance of Chinese state-owned enterprises in the early 1990s; the long-run comparative labor productivity performance of Chinese and U.S. manufacturing, 1952-97; state-owned enterprise reform, ownership structure, and managerial incentives; nonperforming debts in state-owned enterprises and the effect of policies aimed at their solution; export similarity between East Asian economies and the pattern of development in the region; China's exchange rate mechanism and the real effective exchange rate; the development of electronic commerce in China; off-farm migration of labor and long-term economic growth in China; the supply response of the marketed surplus of grains in China; whether food embargoes are a real threat to China; income disparity and convergence in China's regional economies; stature, nutritional status, and economic reform in China; and air pollution control in China. Almost half of the contributors are economists. Lloyd is at the Asian Economics Centre, University of Melbourne. Zhang is at the University of Melbourne. Name and subject indexes.",20000101,"Lloyd, Peter J. ; Zhang, Xiao-guang",Book,Book,2000,,China in the global economy,Socialist Institutions and Their Transitions: General ; Socialist Systems and Transitional Economies: General ; Economic Development: General,BOOK,,1-84064-290-4,,,,,,eng,"Cheltenham, U.K. and Northampton, Mass.: Elgar; distributed by American International Distribution Corporation, Williston, Vt.",336,,,,,,,,,https://research.ebsco.com/plink/d5a29498-ce40-3a3a-8a79-68c96187e916,,,,
EconLit with Full Text,eoh,0844424,Assessing Multi-Dimensional Performance: Environmental and Economic Outcomes,"This study examines the determinants of environmental and economic performance for plants in three traditional smoke-stack industries: pulp and paper, oil, and steel. We combine data from Census Bureau and EPA databases and Compustat on the economic performance, regulatory activity and environmental performance on air and water pollution emissions and toxic releases. We find that plants with higher labor productivity tend to have lower emissions. Regulatory enforcement actions (but not inspections) are associated with lower emissions, and state-level political support for environmental issues is associated with lower water pollution and toxic releases. There is little evidence that plants owned by larger firms perform better, nor do older plants perform worse.",20050101,"Shadbegian, Ronald ; Gray, Wayne",Working Paper,Working Paper,2005,,Assessing Multi-Dimensional Performance: Environmental and Economic Outcomes,,GEN,,,,,,,,eng,"Center for Economic Studies, U.S. Census Bureau, Working Papers",,,,,,,,,,https://research.ebsco.com/plink/641ebbf1-a1b9-37a1-8039-c22bf6a0c5ed,,,,
EconLit with Full Text,eoh,0953478,Measuring Genuine Investment: A Concept Paper for India,"In the Indian context, studies on resource accounting have been attempted by various scholars. Theoretical developments in methods for valuing discovery, depletion and growth of natural resources in the context of the system of national accounts are well developed. The valuation of environmental degradation still remains underdeveloped, with theoretical approaches suggesting that the marginal social costs of pollution are the correct way of valuing degradation while at a more empirical level, the tendency has been to focus more on maintenance cost sort of approaches. In particular, attention has been paid towards valuing the flows of goods and services from forests in India. With regard to non-forest resources, individual researchers have also undertaken primary survey based studies to estimate costs of resource depletion and costs of deteriorating air and water quality However, the challenge remains in empirically establishing the relationship between the weak sustainability indicator and the performance of the Indian economy.",20041201,"Bhattacharya, B. B. ; Dasgupta, P.",Journal Article,Journal Article,January-December 2004,,Journal of Income and Wealth,Investment; Capital; Intangible Capital; Capacity ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth,JOUR,,,,,,,,eng,,17,3,15,26,1-2,,,,,https://research.ebsco.com/plink/1bc78408-93fa-37e5-8977-155d6ce7d51c,,,,
EconLit with Full Text,eoh,0961073,Sustainable Resource Use and Economic Dynamics,"Ten papers, originally presented at a conference held in Ascona, Switzerland, in June 2004, study different aspects of resource use, pollution, economic dynamics, and sustainability. Papers discuss an introduction to sustainable resource use and economic dynamics; a dynamic model of the environmental Kuznets curve--turning point and public policy; the optimal timing of adoption of a green technology; whether environmental regulations can boost growth; general purpose technologies and energy policy; efficient dynamic pollution taxation in an uncertain environment; a new-growth perspective on nonrenewable resources; sectoral energy- and labor-productivity convergence; spatial evolution of social norms in a common-pool resource game; and sustainable motion in classic mechanics--an economics perspective. Bretschger is with the Center of Economic Research at ETH Zurich. Smulders is with the Department of Economics and the Institute for Sustainable Energy, Environment, and Economy at the University of Calgary, and with the Department of Economics at Tilburg University. Index.",20070101,"Bretschger, Lucas ; Smulders, Sjak",Book,Book,2007,,Sustainable Resource Use and Economic Dynamics,Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth ; Environmental Economics: Government Policy ; Renewable Resources and Conservation: Demand and Supply; Prices ; Economic Sociology; Economic Anthropology; Language; Social and Economic Stratification,BOOK,,978-1-4020-6292-6,,,,,,eng,"Economics of Non-Market Goods and Resources, vol. 10. Dordrecht: Springer",229,,,,,,,,,https://research.ebsco.com/plink/adcae73a-b147-306e-8d40-d1ca30ffe249,,,,
