longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,1437048,A Model to Analyze the Environmental Policy of Resource Reallocation and Pollution Control Based on Firms' Heterogeneity,"This paper presents an environmental policy model with heterogeneous firms to analyze the problem of ""development-pollution"". The model shows how the policy corresponding to firms' productivity affects total output, resource consumption and pollution emission. We find that with the implementation of simple pollution tax, the lowest productive firms will exit from the market, at the same time total resource consumption and pollution emission will decrease at the loss of total output. The loss in total output leads some economies, especially the developing countries to fall into a development dilemma. However, if the government subsidizes the more productive firms by reallocating tax revenue, total output will increase back to ""ex-tax"" situation. And more importantly, resource consumption and pollution emission in production could be below ""ex-tax"" situation. Our main finding are: (1) environmental policy reduces resource consumption and pollution emission; (2) total output could be maintained at a certain level if environmental policy is implemented appropriately.",20140301,"Tang, Erzi ; Liu, Fengchao ; Zhang, Jingjing ; Yu, Jiao",Journal Article,Journal Article,March 2014,true,Resources Policy,Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy,JOUR,,,0301-4207,,,,,eng,,91,88,4,39,,10.1016/j.resourpol.2013.12.001,,,,https://research.ebsco.com/plink/f103c46d-4362-3490-95cb-19cb84e85dbc,,,,
EconLit with Full Text,eoh,2010022,Essays on Childhood Environment and Human Capital Acquisition,"Childhood is a key period for the acquisition of human capital, and various characteristics of the environment in which a child grows up affect the development of skills and abilities that will determine her lifetime outcomes, from education earnings to health. The two major components of human capitals are cognition, measured by IQ or standardized tests, and non-cognitive skills, also called socio-emotional skills, which encompasses all abilities that allow an individual to successfully evolve in society: self-control, trust, conscientiousness, curiosity, motivation, grit, etc. Between early childhood and adolescence, both cognition and socio-emotional skills can be influenced by a myriad of factors, from parental education and income to family structure to neighborhood characteristics to nutrition to disease to environmental pollution. In the following essays, I explore a few of these pathways, examine whether they are causal or mere correlations, and discuss mechanisms and policy implications. In the first chapter, I study how neighborhood characteristics influenced American children's cognitive and non-cognitive skills at the turn of the millennium, above and beyond the effects of their own family characteristics. In the second chapter, I assess the competing effects on cognition of (i) access to microbiologically safe well water and (ii) exposure to arsenic contamination through well water during childhood in rural Bangladesh. The study sample is a cohort born in the 1970s and early 1980s, when access to well water was quickly increasing, who was part of a 1996 survey that included cognition measures in 1996. In the third chapter, I examine how parent separation affect the socio-emotional development of American children by comparing students whose biological parents remain together through 5th grade to students who live with both their biological parent in early childhood but experience a family structure change between kindergarten and 5th grade. I use propensity score matching and trimming to ensure that I am comparing children whose parents have similar probabilities of splitting up but who experience different realizations of that probability. In all three contexts, I find statistically significant effects and discuss what policies can be used to minimize the negative consequences on children.",20211201,"Delabroye, Solveig",Dissertation,Dissertation,December 2021,,Essays on Childhood Environment and Human Capital Acquisition,Analysis of Education ; Fertility; Family Planning; Child Care; Children; Youth ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Valuation of Environmental Effects,GEN,,,,,,,,eng,University of Colorado,,,,,,,,,,https://research.ebsco.com/plink/20a058bc-4a44-314b-8570-d989525fdeda,,,,
EconLit with Full Text,eoh,1717230,Investigating the Effect of Ergonomics on Employee Productivity: A Case Study of the Butchering and Trimming Line of Pioneer Food Cannery in Ghana,"This study sought to investigate the effect of ergonomics on the employee productivity focusing on the Butchering and Trimming Line of Pioneer Food Cannery Limited (PFC) in Ghana. Research questionnaires were developed and distributed to a sample of 134 workers consisting of workers in charge of butchering, trimming as well as supervisors. It was evident from the findings that all the indicators explaining work ergonomics from the perspective of the employees of PFC were satisfactory despite the few respondents who indicated unsatisfactory to the general design and workplace decor, and conduciveness of the room temperature and air quality respectively. It was established that all the indicators of work ergonomics have a significant positive correlation with employee productivity of PFC. The study recommended to the management of Pioneer Food Cannery Limited to instigate a corporate real estate policy that will focus on using PFC workplace environment to attract, retain, and boost the performance of PFC employees.",20171201,"Pickson, Robert Becker ; Bannerman, Stephen ; Ahwireng, Patience Obeng",Journal Article,Journal Article,December 2017,,Modern Economy,Human Capital; Skills; Occupational Choice; Labor Productivity ; Safety; Job Satisfaction; Related Public Policy ; Labor Standards: Working Conditions ; Food; Beverages; Cosmetics; Tobacco; Wine and Spirits ; Personnel Management; Executives; Executive Compensation ; Personnel Economics: Labor Management ; Industrialization; Manufacturing and Service Industries; Choice of Technology,JOUR,,,2152-7245 ; 2152-7261,,,,,eng,,1574,1561,14,8,12,,,,,https://research.ebsco.com/plink/d9e235c1-6c78-3044-9c7c-783b53a4c40b,,,,
EconLit with Full Text,eoh,1532913,Modeling the Dynamics of the Transition to a Green Economy,,20140101,"Mittnik, Stefan ; Semmler, Willi ; Kato, Mika ; Samaan, Daniel ; Moser, Elke ; Semmler, Willi ; Tragler, Gernot ; Veliov, Vladimir M.",Collective Volume Article,Collective Volume Article,2014,,Dynamic Optimization in Environmental Economics,Macroeconomics: Production ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Alternative Energy Sources ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Climate; Natural Disasters and Their Management; Global Warming ; Environmental Economics: Technological Innovation,CHAP,,978-3-642-54085-1 ; 978-3-642-54086-8,,,,,,eng,"Dynamic Modeling and Econometrics in Economics and Finance, vol. 15. New York and Heidelberg: Springer",109,87,23,,,,,,,https://research.ebsco.com/plink/af5ff18d-7cdc-382e-a2e4-f518b9394e41,,,,
EconLit with Full Text,eoh,1845342,Human Capital and Energy Consumption: Evidence from OECD Countries,"We examine the effect of human capital on energy consumption for a panel of OECD economies over the period 1965-2014. Our preferred results, which account for cross-sectional dependence and structural breaks, suggest that a one standard deviation increase in human capital reduces aggregate energy consumption by 15.36%. When we distinguish between clean and dirty energy consumption, we find that human capital generates significant positive externalities for the environment. Specifically, we find that a one standard deviation increase in human capital is associated with a 17.33% decrease in dirty energy consumption and an 85.54% increase in clean energy consumption. Our findings reinforce the social benefits of investing in human capital and suggest a promising avenue for energy conservation without impeding economic growth.",20191001,"Yao, Yao ; Ivanovski, Kris ; Inekwe, John ; Smyth, Russell",Journal Article,Journal Article,October 2019,true,Energy Economics,Human Capital; Skills; Occupational Choice; Labor Productivity ; Energy: Demand and Supply; Prices ; Energy and the Macroeconomy ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,0140-9883,,,,,eng,,,,,84,,,,,,https://research.ebsco.com/plink/821c3058-da01-38ac-a06c-495c974aa84b,,,,
EconLit with Full Text,eoh,1327848,Natural Disasters in a Two-Sector Model of Endogenous Growth,"Using an endogenous growth model with physical and human capital accumulation, this paper considers the sustainability of economic growth when the use of a polluting input (e.g., fossil fuels) intensifies the risk of capital destruction through natural disasters. We find that growth is sustainable only if the tax rate on the polluting input increases over time. The long-term rate of economic growth follows an inverted V-shaped curve relative to the growth rate of the environmental tax, and it is maximized by the least aggressive tax policy of those that asymptotically eliminate the use of polluting inputs. Unavailability of insurance can accelerate or decelerate the growth-maximizing speed of the tax increase depending on the relative significance of the risk premium and precautionary savings effects. Welfare is maximized under a milder environmental tax policy, especially when the pollutants accumulate gradually.",20121001,"Ikefuji, Masako ; Horii, Ryo",Journal Article,Journal Article,October 2012,true,Journal of Public Economics,Macroeconomics: Production ; Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Planning Models; Planning Policy ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth ; Environmental Economics: Government Policy,JOUR,,,0047-2727,,,,,eng,,796,784,13,96,9-10,10.1016/j.jpubeco.2012.05.005,,,,https://research.ebsco.com/plink/f72616da-0092-31ad-93b6-f35e393807c0,,,,
EconLit with Full Text,eoh,1023829,Environmental Efficiency and Labour Productivity: Trade-Off or Joint Dynamics? A Theoretical Investigation and Empirical Evidence from Italy Using NAMEA,"In this paper we test an adapted EKC hypothesis to verify the relationship between 'environmental efficiency' (namely emissions per unit of value added) and labour productivity (value added per employee). We exploit NAMEA data on Italy for 29 sector branches and 6 categories of air emissions for the period 1991-2001. We employ data on capital stock and trade openness to test the robustness of our results. On the basis of the theoretical and empirical analyses focusing on innovation, firm performances and environmental externalities, we would expect a positive correlation between environmental efficiency and labour productivity--a negative correlation between the emissions intensity of value added and labour productivity--which departs from the conventional mainstream view. The hypothesis tested is a critical one within the longstanding debate on the potential trade-off or complementarity between environmental preservation and economic performance, which is strictly associated with the role of technological innovation. We find that for most air emission categories there is a positive relationship between labour productivity and environmental efficiency. Labour productivity dynamics, then, seem to be complementary to a decreasing emissions intensity in the production process. Taking a disaggregate sector perspective, we show that the macro-aggregate evidence is driven by sector dynamics in a non-homogenous way across pollutants. Services tend always to show a 'complementary' relationship, while industry seems to be associated with inverted U-shape dynamics for greenhouse gases and nitrogen oxides. This is in line with our expectations. In any case, EKC shapes appear to drive such productivity links towards complementarity. The extent to which this evidence derives from endogenous market forces, industrial and structural change, and policy effects is discussed by taking an evolutionary perspective to innovation and by referring to impure public goods arguments.",20090201,"Mazzanti, Massimiliano ; Zoboli, Roberto",Journal Article,Journal Article,February 2009,true,Ecological Economics,Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth,JOUR,,,0921-8009,,,,,eng,,1194,1182,13,68,4,10.1016/j.ecolecon.2008.08.009,,,,https://research.ebsco.com/plink/a0d39966-ba77-398c-ad35-15208260536d,,,,
EconLit with Full Text,eoh,1713073,"Good for Some, Bad for Others: US Investors and Non-trade Issues in Preferential Trade Agreements","Preferential trade agreements (PTAs) trigger investment through their commitment to a liberal market economy. Increasingly however, PTAs go far beyond liberalizing trade and investment flows. Especially controversial features included in most modern PTAs are environmental and labor standards. Do these standards affect business activity? If so, how do investors react to such non-trade issues in trade deals? The literature provides inconclusive findings about the impact of standards on foreign direct investment (FDI). Some contributors argue that strict standards decrease FDI, whilst others claim that environmental and labor protection increases productivity and, in consequence, inward investment. In all likelihood, the usage of aggregated FDI data, as is the case for most studies, causes confusion. I expect standards to influence investors' decisions--but heterogeneously across sectors. Environmental and labor standards should reduce FDI in polluting and low-skilled labor endowed industries, but increase investment in environmentally clean and high-skilled labor abundant sectors. Based on an original dataset of environmental and social standards in trade agreements and at the sector-level disaggregated US-FDI data, I find robust support for my argument. The paper provides a more nuanced picture on the standards and investment nexus: Standards have no uniform effect on multinationals. Instead, they are good for some, but bad for other industries.",20180601,"Lechner, Lisa",Journal Article,Journal Article,June 2018,true,Review of International Organizations,Trade Policy; International Trade Organizations ; International Investment; Long-term Capital Movements ; Multinational Firms; International Business ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Environmental Economics: General,JOUR,,,1559-7431 ; 1559-744X,,,,,eng,,187,163,25,13,2,10.1007/s11558-018-9299-2,,,,https://research.ebsco.com/plink/ab4954d3-c2ea-31a9-ad08-e89268db9c44,,,,
EconLit with Full Text,eoh,1419200,Determinants of Happiness: Environmental Degradation and Attachment to Nature,,20130101,"Tsurumi, Tetsuya ; Kuramashi, Kei ; Managi, Shunsuke ; Managi, Shunsuke",Collective Volume Article,Collective Volume Article,2013,,The Economics of Biodiversity and Ecosystem Services,Semiparametric and Nonparametric Methods: General ; Consumer Economics: Empirical Analysis ; Household Saving; Personal Finance ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; General Welfare; Well-Being ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,CHAP,,978-0-415-62563-0,,,,,,eng,"Routledge Explorations in Environmental Economics. London and New York: Taylor and Francis, Routledge",86,62,25,,,,,,,https://research.ebsco.com/plink/1509959b-975d-32f7-a287-c964b3919839,,,,
EconLit with Full Text,eoh,1424785,Green Growth of the Tertiary Industry,,20130101,"Liu, Jinshi ; Xin, Jiang ; Jingjing, Jin ; Li, Xiaoxi ; Pan, Jiancheng",Collective Volume Article,Collective Volume Article,2013,,China Green Development Index Report 2011,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Industry Studies: Services: General ; Socialist Systems and Transitional Economies: Planning, Coordination, and Reform ; Socialist Systems and Transitional Economies: Factor and Product Markets; Industry Studies; Population ; Socialist Systems and Transitional Economies: Urban, Rural, and Regional Economics ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy",CHAP,,978-3-642-31596-1,,,,,,eng,Current Chinese Economic Report Series. New York and Heidelberg: Springer,131,105,27,,,,,,,https://research.ebsco.com/plink/6f8994da-77d9-36a1-99d1-d95adfb4df98,,,,
