Title,Author,Year,Citation count,Open access,Abstract,DOI
The China Syndrome: Local Labor Market Effects of Import Competition in the United States,David Autor|David Dorn|Gordon Hanson,2013,4450,Open Access,"We analyze the effect of rising Chinese import competition between 1990 and 2007 on US local labor markets, exploiting cross-market variation in import exposure stemming from initial differences in industry specialization and instrumenting for US imports using changes in Chinese imports by other high-income countries. Rising imports cause higher unemployment, lower labor force participation, and reduced wages in local labor markets that house import-competing manufacturing industries. In our main specification, import competition explains one-quarter of the contemporaneous aggregate decline in US manufacturing employment. Transfer benefits payments for unemployment, disability, retirement, and healthcare also rise sharply in more trade-exposed labor markets. (JEL E24, F14, F16, J23, J31, L60, O47, R12, R23)",https://doi.org/10.1257/aer.103.6.2121
Export Versus FDI with Heterogeneous Firms,Elhanan Helpman|Marc J. Melitz|Stephen Yeaple,2004,4067,NOT Open Access,,https://doi.org/10.1257/000282804322970814
Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs,Sebastián Calónico|Matias D. Cattaneo|Rocío Titiunik,2014,3075,Open Access,"In the regression-discontinuity (RD) design, units are assigned to treatment based on whether their value of an observed covariate exceeds a known cutoff. In this design, local polynomial estimators are now routinely employed to construct confidence intervals for treatment effects. The performance of these confidence intervals in applications, however, may be seriously hampered by their sensitivity to the specific bandwidth employed. Available bandwidth selectors typically yield a “large” bandwidth, leading to data-driven confidence intervals that may be biased, with empirical coverage well below their nominal target. We propose new theory-based, more robust confidence interval estimators for average treatment effects at the cutoff in sharp RD, sharp kink RD, fuzzy RD, and fuzzy kink RD designs. Our proposed confidence intervals are constructed using a bias-corrected RD estimator together with a novel standard error estimator. For practical implementation, we discuss mean squared error optimal bandwidths, which are by construction not valid for conventional confidence intervals but are valid with our robust approach, and consistent standard error estimators based on our new variance formulas. In a special case of practical interest, our procedure amounts to running a quadratic instead of a linear local regression. More generally, our results give a formal justification to simple inference procedures based on increasing the order of the local polynomial estimator employed. We find in a simulation study that our confidence intervals exhibit close-to-correct empirical coverage and good empirical interval length on average, remarkably improving upon the alternatives available in the literature. All results are readily available in R and STATA using our companion software packages described in Calonico, Cattaneo, and Titiunik (2014d, 2014b).",https://doi.org/10.3982/ecta11757
Creative accounting or creative destruction? Firm-level productivity growth in Chinese manufacturing,Loren Brandt|Johannes Van Biesebroeck|Yifan Zhang,2011,2327,Open Access,,https://doi.org/10.1016/j.jdeveco.2011.02.002
North-South Trade and the Environment,Brian R. Copeland|M. Scott Taylor,1994,1933,NOT Open Access,,https://doi.org/10.2307/2118421
The Surprisingly Swift Decline of US Manufacturing Employment,Justin R. Pierce|Peter K. Schott,2016,1366,NOT Open Access,,https://doi.org/10.1257/aer.20131578
Reconstructing 1-km-resolution high-quality PM2.5 data records from 2000 to 2018 in China: spatiotemporal variations and policy implications,Jing Wei|Zhanqing Li|Alexei Lyapustin|Lin Sun|Yiran Peng|Wenhao Xue|Tianning Su|Maureen Cribb,2020,1336,NOT Open Access,,https://doi.org/10.1016/j.rse.2020.112136
Does environmental regulation drive away inbound foreign direct investment? Evidence from a quasi-natural experiment in China,Xiqian Cai|Yi Lu|Mingqin Wu|Linhui Yu,2016,1283,NOT Open Access,,https://doi.org/10.1016/j.jdeveco.2016.08.003
"State-Owned and Privately Owned Firms: An Empirical Analysis of Profitability, Leverage, and Labor Intensity",Kathryn L. Dewenter|Paul Malatesta,2001,1248,NOT Open Access,,https://doi.org/10.1257/aer.91.1.320
The Persistent Effects of Peru's Mining Mita,Melissa Dell,2010,1176,NOT Open Access,,https://doi.org/10.3982/ecta8121
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
Is Trade Good or Bad for the Environment? Sorting Out the Causality,Jeffrey A. Frankel|Andrew K. Rose,2005,997,NOT Open Access,,https://doi.org/10.1162/0034653053327577
Watering Down Environmental Regulation in China*,Guojun He|Shaoda Wang|Bing Zhang,2020,934,NOT Open Access,,https://doi.org/10.1093/qje/qjaa024
WTO Accession and Performance of Chinese Manufacturing Firms,Loren Brandt|Johannes Van Biesebroeck|Luhang Wang|Yifan Zhang,2017,865,Open Access,"We examine the effects of trade liberalization in China on the evolution of markups and productivity of manufacturing firms. Although these dimensions of performance cannot be separately identified when firm output is measured by revenue, detailed price deflators make it possible to estimate the average effect of tariff reductions on both. Several novel findings emerge. First, cuts in output tariffs reduce markups, but raise productivity. Second, pro-competitive effects are most important among incumbents, while efficiency gains dominate for new entrants. Third, cuts in input tariffs raise both markups and productivity. We highlight mechanisms that explain these findings in the Chinese context. (JEL D24, F13, L25, L60, O14, P31, P33)",https://doi.org/10.1257/aer.20121266
"Processing Trade, Tariff Reductions and Firm Productivity: Evidence from Chinese Firms",Miaojie Yu,2014,849,NOT Open Access,,https://doi.org/10.1111/ecoj.12127
Competition and Corporate Tax Avoidance: Evidence from Chinese Industrial Firms,Hongbin Cai|Qiao Liu,2009,847,NOT Open Access,,https://doi.org/10.1111/j.1468-0297.2009.02217.x
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions.",https://doi.org/10.1073/pnas.1809474115
Environmental policy and exports: Evidence from Chinese cities,Laura Hering|Sandra Poncet,2014,805,NOT Open Access,,https://doi.org/10.1016/j.jeem.2014.06.005
Environmental Regulation and Productivity: Evidence from Oil Refineries,Eli Berman|Linda Bui,2001,748,NOT Open Access,,https://doi.org/10.1162/00346530152480144
Firm productivity and export markets: a non-parametric approach,Miguel A. Delgado|José Carlos Fariñas|Sonia Ruano,2002,719,Open Access,,https://doi.org/10.1016/s0022-1996(01)00154-4
Are foreign investors attracted to weak environmental regulations? Evaluating the evidence from China,Judith M. Dean|Mary E. Lovely|Hua Wang,2008,660,Open Access,,https://doi.org/10.1016/j.jdeveco.2008.11.007
The Impact of Temperature on Productivity and Labor Supply: Evidence from Indian Manufacturing,E. Somanathan|Rohini Somanathan|Anant Sudarshan|Meenu Tewari,2021,633,Open Access,"Hotter years are associated with lower economic output in developing countries. We show that the effect of temperature on labor is an important part of the explanation. Using microdata from selected firms in India, we estimate reduced worker productivity and increased absenteeism on hot days. Climate control significantly mitigates productivity losses. In a national panel of Indian factories, annual plant output falls by about 2% per degree Celsius. This response appears to be driven by a reduction in the output elasticity of labor. Our estimates are large enough to explain previously observed output losses in cross-country panels.",https://doi.org/10.1086/713733
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,,https://doi.org/10.1111/ecoj.12273
‘Effortless Perfection:’ Do Chinese cities manipulate air pollution data?,Dalia Ghanem|Junjie Zhang,2014,571,NOT Open Access,,https://doi.org/10.1016/j.jeem.2014.05.003
Environmental regulation and firm exports: Evidence from the eleventh Five-Year Plan in China,Xinzheng Shi|Zhufeng Xu,2018,569,NOT Open Access,,https://doi.org/10.1016/j.jeem.2018.03.003
Defensive Investments and the Demand for Air Quality: Evidence from the NOx Budget Program,Olivier Deschênes|Michael Greenstone|Joseph Shapiro,2017,491,Open Access,"The demand for air quality depends on health impacts and defensive investments, but little research assesses the empirical importance of defenses. A rich quasi-experiment suggests that the Nitrogen Oxides (NOx) Budget Program (NBP), a cap-and-trade market, decreased NOx emissions, ambient ozone concentrations, pharmaceutical expenditures, and mortality rates. The annual reductions in pharmaceutical purchases, a key defensive investment, and mortality are valued at about $800 million and $1.3 billion, respectively, suggesting that defenses are over one-third of willingness-to-pay for reductions in NOx emissions. Further, estimates indicate that the NBP's benefits easily exceed its costs and that NOx reductions have substantial benefits. (JEL I12, Q51, Q53, Q58)",https://doi.org/10.1257/aer.20131002
The effect of air pollution on migration: Evidence from China,Shuai Chen|Paulina Oliva|Peng Zhang,2022,428,NOT Open Access,,https://doi.org/10.1016/j.jdeveco.2022.102833
"Climate change, humidity, and mortality in the United States",Alan Barreca,2011,399,Open Access,,https://doi.org/10.1016/j.jeem.2011.07.004
Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates for China,Shihe Fu|V. Brian Viard|Peng Zhang,2021,382,NOT Open Access,,https://doi.org/10.1093/ej/ueab033
Climate Shocks and Exports,Benjamin F. Jones|Benjamin Olken,2010,345,Open Access,"This paper uses international trade data to examine the effects of climate shocks on economic activity. At the aggregate level, Melissa Dell, Benjamin F. Jones, and Benjamin A. Olken (2008) (hereafter, DJO) have demonstrated that higher temperatures in a given year reduce the growth rate of GDP per capita, but only in poor countries. The analysis of trade data in this paper builds on that finding, with three principal motivations. First, international trade links the fortunes of countries, providing potentially important conduits for geographically limited climatic impacts to have global economic effects. Second, international trade data is the best available source for identifying economic activity worldwide separately by narrowly defined sectors. Examining international trade data, one can thus say more precisely what sectors are affected by climatic changes. Finally, the trade data, collected by the importing country, provides a check on the potentially low-quality national accounts data provided by the home country.",https://doi.org/10.1257/aer.100.2.454
Valuing school quality using boundary discontinuities,Stephen Gibbons|Stephen Machin|Olmo Silva,2012,295,Open Access,,https://doi.org/10.1016/j.jue.2012.11.001
"Trade and the Environment: New Methods, Measurements, and Results",Jevan Cherniwchan|Brian R. Copeland|M. Scott Taylor,2017,288,NOT Open Access,,https://doi.org/10.1146/annurev-economics-063016-103756
"Economic status, air quality, and child health: Evidence from inversion episodes",Jenny Jans|Per Johansson|J. Peter Nilsson,2018,183,NOT Open Access,,https://doi.org/10.1016/j.jhealeco.2018.08.002
"Place-based policies, state-led industrialisation, and regional development: Evidence from China's Great Western Development Programme",Junxue Jia|Guangrong Ma|Cong Qin|Liyan Wang,2020,167,NOT Open Access,,https://doi.org/10.1016/j.euroecorev.2020.103398
Political hierarchy and regional economic development: Evidence from a spatial discontinuity in China,Junxue Jia|Xuan Liang|Guangrong Ma,2021,134,NOT Open Access,,https://doi.org/10.1016/j.jpubeco.2020.104352
