Title,Author,Year,Citation count,Open access,DOI,Abstract
Global Estimates of Ambient Fine Particulate Matter Concentrations from Satellite-Based Aerosol Optical Depth: Development and Application,Aaron van Donkelaar|Randall V. Martin|Michael Bräuer|Ralph A. Kahn|R. C. Levy|Carolyn Verduzco|Paul J. Villeneuve,2010,1714,Open Access,https://doi.org/10.1289/ehp.0901623,"BACKGROUND: Epidemiologic and health impact studies of fine particulate matter with diameter < 2.5 microm (PM2.5) are limited by the lack of monitoring data, especially in developing countries. Satellite observations offer valuable global information about PM2.5 concentrations. OBJECTIVE: In this study, we developed a technique for estimating surface PM2.5 concentrations from satellite observations. METHODS: We mapped global ground-level PM2.5 concentrations using total column aerosol optical depth (AOD) from the MODIS (Moderate Resolution Imaging Spectroradiometer) and MISR (Multiangle Imaging Spectroradiometer) satellite instruments and coincident aerosol vertical profiles from the GEOS-Chem global chemical transport model. RESULTS: We determined that global estimates of long-term average (1 January 2001 to 31 December 2006) PM2.5 concentrations at approximately 10 km x 10 km resolution indicate a global population-weighted geometric mean PM2.5 concentration of 20 microg/m3. The World Health Organization Air Quality PM2.5 Interim Target-1 (35 microg/m3 annual average) is exceeded over central and eastern Asia for 38% and for 50% of the population, respectively. Annual mean PM2.5 concentrations exceed 80 microg/m3 over eastern China. Our evaluation of the satellite-derived estimate with ground-based in situ measurements indicates significant spatial agreement with North American measurements (r = 0.77; slope = 1.07; n = 1057) and with noncoincident measurements elsewhere (r = 0.83; slope = 0.86; n = 244). The 1 SD of uncertainty in the satellite-derived PM2.5 is 25%, which is inferred from the AOD retrieval and from aerosol vertical profile errors and sampling. The global population-weighted mean uncertainty is 6.7 microg/m3. CONCLUSIONS: Satellite-derived total-column AOD, when combined with a chemical transport model, provides estimates of global long-term average PM2.5 concentrations."
"Trade Liberalization, Exports, and Technology Upgrading: Evidence on the Impact of MERCOSUR on Argentinian Firms",Paula Bustos,2011,1559,Open Access,https://doi.org/10.1257/aer.101.1.304,"This paper studies the impact of a regional free trade agreement, MERCOSUR, on technology upgrading by Argentinean firms. To guide empirical work, I introduce technology choice in a model of trade with heterogeneous firms. The joint treatment of the technology and exporting choices shows that the increase in revenues produced by trade integration can induce exporters to upgrade technology. An empirical test of the model reveals that firms in industries facing higher reductions in Brazil's tariffs increase investment in technology faster. The effect of tariffs is highest in the upper-middle range of the firm-size distribution, as predicted by the model. (JEL F13, F15, O19, O24, O33)."
What is energy efficiency?,Murray Patterson,1996,1153,NOT Open Access,https://doi.org/10.1016/0301-4215(96)00017-1,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
"Why Is Pollution from US Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",Joseph Shapiro|Reed Walker,2018,948,NOT Open Access,https://doi.org/10.1257/aer.20151272,
Improved Access to Foreign Markets Raises Plant-Level Productivity… for Some Plants *,А.Г. Лилеева|Daniel Trefler,2010,889,NOT Open Access,https://doi.org/10.1162/qjec.2010.125.3.1051,
"Institutional quality, green innovation and energy efficiency",Huaping Sun|Bless Kofi Edziah|Chuanwang Sun|Anthony Kwaku Kporsu,2019,769,NOT Open Access,https://doi.org/10.1016/j.enpol.2019.111002,
What is driving China’s decline in energy intensity?,Karen Fisher‐Vanden|Gary H. Jefferson|Hongmei Liu|Quan Tao,2003,707,NOT Open Access,https://doi.org/10.1016/j.reseneeco.2003.07.002,
"Technological Change, Technological Catch-up, and Capital Deepening: Relative Contributions to Growth and Convergence",Subodh Kumar|R. Robert Russell,2002,705,NOT Open Access,https://doi.org/10.1257/00028280260136381,
Satellite remote sensing of particulate matter and air quality assessment over global cities,Pawan Gupta|Sundar A. Christopher|Jun Wang|Robert Gehrig|Yc Lee|Naresh Kumar,2006,640,NOT Open Access,https://doi.org/10.1016/j.atmosenv.2006.03.016,
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,https://doi.org/10.1111/ecoj.12273,
Does central supervision enhance local environmental enforcement? Quasi-experimental evidence from China,Bing Zhang|Xiaolan Chen|Huanxiu Guo,2018,559,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2018.05.009,
Learning from exporting revisited in a less developed setting,Garrick Blalock|Paul Gertler,2004,508,NOT Open Access,https://doi.org/10.1016/j.jdeveco.2004.06.004,
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,https://doi.org/10.1257/app.20160436,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)"
