Title,Author,Year,Citation count,Open access,DOI,Abstract
Political turnover and economic performance: the incentive role of personnel control in China,Hongbin Li|Li‐An Zhou,2004,3678,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2004.06.009,
What Determines Productivity?,Chad Syverson,2011,2798,NOT Open Access,https://doi.org/10.1257/jel.49.2.326,
Generalized reduced rank tests using the singular value decomposition,Frank Kleibergen|Richard Paap,2005,2745,NOT Open Access,https://doi.org/10.1016/j.jeconom.2005.02.011,
The Fundamental Institutions of China's Reforms and Development,Chenggang Xu,2011,2652,Open Access,https://doi.org/10.1257/jel.49.4.1076,"China's economic reforms have resulted in spectacular growth and poverty reduction. However, China's institutions look ill-suited to achieve such a result, and they indeed suffer from serious shortcomings. To solve the “China puzzle,” this paper analyzes China's institution—a regionally decentralized authoritarian system. The central government has control over personnel, whereas subnational governments run the bulk of the economy; and they initiate, negotiate, implement, divert, and resist reforms, policies, rules, and laws. China's reform trajectories have been shaped by regional decentralization. Spectacular performance on the one hand and grave problems on the other hand are all determined by this governance structure. (JEL O17, O18, O43, P21, P25, P26)"
Creative accounting or creative destruction? Firm-level productivity growth in Chinese manufacturing,Loren Brandt|Johannes Van Biesebroeck|Yifan Zhang,2011,2327,Open Access,https://doi.org/10.1016/j.jdeveco.2011.02.002,
Temperature Shocks and Economic Growth: Evidence from the Last Half Century,Melissa Dell|Benjamin F. Jones|Benjamin Olken,2012,2254,Open Access,https://doi.org/10.1257/mac.4.3.66,"This paper uses historical fluctuations in temperature within countries to identify its effects on aggregate economic outcomes. We find three primary results. First, higher temperatures substantially reduce economic growth in poor countries. Second, higher temperatures may reduce growth rates, not just the level of output. Third, higher temperatures have wide-ranging effects, reducing agricultural output, industrial output, and political stability. These findings inform debates over climate's role in economic development and suggest the possibility of substantial negative impacts of higher temperatures on poor countries. (JEL E23, O13, Q54, Q56)"
Testing Identifiability and Specification in Instrumental Variable Models,John G. Cragg|Stephen G. Donald,1993,1452,NOT Open Access,https://doi.org/10.1017/s0266466600007519,
"Geography, Industrial Organization, and Agglomeration",Stuart S. Rosenthal|William C. Strange,2003,1366,NOT Open Access,https://doi.org/10.1162/003465303765299882,
The Relationship Between Education and Adult Mortality in the United States,Adriana Lleras‐Muney,2004,1293,NOT Open Access,https://doi.org/10.1111/0034-6527.00329,
"Regional decentralization and fiscal incentives: Federalism, Chinese style",Hehui Jin|Yingyi Qian|Barry R. Weingast,2005,1182,NOT Open Access,https://doi.org/10.1016/j.jpubeco.2004.11.008,
